"metric","GPT-4o","llama-2-13b","llama-3-8b-4bits","llama-3-8b-8bits","llama-3-8b-wo"
"ANOnto","5.0","5.0","5.0","5.0","5.0"
"AROnto","5.0","5.0","5.0","5.0","5.0"
"CBOOnto","5.0","5.0","5.0","5.0","5.0"
"CBOnto2","5.0","5.0","5.0","5.0","5.0"
"CROnto","1.0","1.0","1.0","1.0","1.0"
"DITOnto","5.0","5.0","5.0","4.0","5.0"
"INROnto","5.0","5.0","5.0","5.0","5.0"
"LCOMOnto","5.0","5.0","5.0","5.0","5.0"
"NACOnto","5.0","5.0","5.0","5.0","5.0"
"NOCOnto","2.0","4.0","4.0","4.0","1.0"
"NOMOnto","4.0","2.0","3.0","3.0","4.0"
"POnto","5.0","5.0","5.0","5.0","5.0"
"PROnto","4.0","5.0","5.0","5.0","4.0"
"RFCOnto","4.0","2.0","4.0","4.0","4.0"
"RROnto","1.0","1.0","1.0","1.0","2.0"
"TMOnto","5.0","5.0","5.0","5.0","5.0"
"TMOnto2","5.0","5.0","5.0","5.0","5.0"
"WMCOnto","5.0","5.0","5.0","5.0","5.0"
"WMCOnto2","5.0","5.0","5.0","5.0","5.0"
