"","metric","FT_llama-3-8b-4bits_BrazilianE-commerce"
"1","ANOnto","0.8333333333333334"
"2","AROnto","2.0"
"3","CBOOnto","0.8333333333333334"
"4","CBOnto2","0.8333333333333334"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8333333333333334"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","5.0"
"11","NOMOnto","6.166666666666667"
"12","POnto","0.0"
"13","PROnto","0.8809523809523809"
"14","RFCOnto","7.0"
"15","RROnto","0.11904761904761904"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
