"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8571428571428571"
"AROnto","2.2857142857142856","1.4285714285714286"
"CBOOnto","0.8571428571428571","0.8571428571428571"
"CBOnto2","0.8571428571428571","0.8571428571428571"
"CROnto","0.0","0.0"
"DITOnto","3.0","3.0"
"INROnto","0.8571428571428571","0.8571428571428571"
"LCOMOnto","1.2","1.2"
"NACOnto","1.0","1.0"
"NOCOnto","3.0","3.0"
"NOMOnto","3.4285714285714284","3.5714285714285716"
"POnto","0.14285714285714285","0.14285714285714285"
"PROnto","0.8","0.8064516129032258"
"RFCOnto","4.285714285714286","4.428571428571429"
"RROnto","0.2","0.1935483870967742"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.2","1.2"
"WMCOnto2","1.0","1.0"
