"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.8","0.8571428571428571","0.8","0.9230769230769231","0.9230769230769231","0.8"
"AROnto","4.6","1.4285714285714286","1.0","1.3846153846153846","1.3846153846153846","1.6"
"CBOOnto","0.8","0.8571428571428571","0.8","0.9230769230769231","0.9230769230769231","0.8"
"CBOnto2","0.8","0.8571428571428571","0.8","0.9230769230769231","0.9230769230769231","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","3.0","2.0","3.0","3.0","2.0"
"INROnto","0.8","0.8571428571428571","0.8","0.9230769230769231","0.9230769230769231","0.8"
"LCOMOnto","1.0","1.2","1.0","1.3","1.3","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","4.0","3.0","4.0","4.0","4.0","4.0"
"NOMOnto","14.4","3.5714285714285716","3.4","4.153846153846154","4.153846153846154","4.8"
"POnto","0.0","0.14285714285714285","0.0","0.23076923076923078","0.23076923076923078","0.0"
"PROnto","0.9473684210526315","0.8064516129032258","0.8095238095238095","0.8181818181818182","0.8181818181818182","0.8571428571428571"
"RFCOnto","15.2","4.428571428571429","4.2","5.076923076923077","5.076923076923077","5.6"
"RROnto","0.05263157894736842","0.1935483870967742","0.19047619047619047","0.18181818181818182","0.18181818181818182","0.14285714285714285"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.2","1.0","1.3","1.3","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
