dataset,Error_type,Number_incidences,Rate
AirlinesCustomerSatisfaction,Incorrect serialization,7,63.64
AirlinesCustomerSatisfaction,Wrong URIs,4,36.36
AirlinesCustomerSatisfaction,Uncommented text,3,27.27
AirlinesCustomerSatisfaction,Incorrect format,2,18.18
AirlinesCustomerSatisfaction,Incorrect rdf/xml serialization,1,9.09
AmazonRating,Incorrect serialization,6,54.55
AmazonRating,Uncommented text,5,45.45
AmazonRating,Wrong URIs,4,36.36
AmazonRating,Incorrect format,3,27.27
AmazonRating,Valid,1,9.09
BigBasketProducts,Incorrect serialization,6,54.55
BigBasketProducts,Wrong URIs,6,54.55
BigBasketProducts,Uncommented text,4,36.36
BigBasketProducts,Incorrect format,3,27.27
BigBasketProducts,Valid,1,9.09
BrazilianE-commerce,Incorrect serialization,5,45.45
BrazilianE-commerce,Uncommented text,5,45.45
BrazilianE-commerce,Wrong URIs,5,45.45
BrazilianE-commerce,Incorrect format,4,36.36
BrazilianE-commerce,Incorrect rdf/xml serialization,1,9.09
BrazilianE-commerce,Valid,1,9.09
CustomerComplaint,Incorrect serialization,6,54.55
CustomerComplaint,Uncommented text,5,45.45
CustomerComplaint,Wrong URIs,5,45.45
CustomerComplaint,Incorrect format,3,27.27
CustomerComplaint,Incorrect rdf/xml serialization,1,9.09
CustomerComplaint,Valid,1,9.09
eCommerce,Incorrect serialization,7,63.64
eCommerce,Uncommented text,4,36.36
eCommerce,Wrong URIs,4,36.36
eCommerce,Incorrect format,3,27.27
eCommerce,Incorrect rdf/xml serialization,1,9.09
eCommerce,Valid,1,9.09
