datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies
2019-12-21 14:18,Sat,15800.0,효자 3동,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
2019-11-24 13:53,Sun,19300.0,퇴계동,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,
2019-10-13 14:32,Sun,15600.0,후평 3동,1.0,,,,,,,,,,,,,1.0,,,,,2.0,,,,
2019-07-24 15:40,Wed,16100.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
2020-03-21 13:38,Sat,17500.0,석사동,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
2020-03-20 12:34,Fri,17000.0,소양동,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,
2020-03-22 11:02,Sun,18500.0,후평 1동,,,,,,,,,2.0,1.0,,,,,,,,,2.0,,,,
2020-03-23 13:57,Mon,17800.0,동면,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
2020-01-30 11:43,Thur,23300.0,석사동,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30 11:22,Mon,17300.0,강남동,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,
2020-01-22 11:50,Wed,18100.0,후평 3동,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,
2019-09-04 14:54,Wed,14800.0,효자 2동,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
2019-09-28 12:52,Sat,41400.0,신사우동,3.0,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,,
2019-11-02 11:45,Sat,16100.0,후평 3동,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
2019-12-23 15:03,Mon,14000.0,후평 1동,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,
2020-02-09 11:03,Sun,30000.0,동내면,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,1.0
2020-03-29 13:16,Sun,19600.0,후평 1동,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,
2019-09-09 12:04,Mon,22600.0,동면,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-10 13:15,Sat,16600.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,
2019-11-09 11:36,Sat,18300.0,후평 3동,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,
2020-02-15 12:55,Sat,20500.0,퇴계동,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,
2019-11-08 11:36,Fri,22800.0,후평 3동,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,
2020-02-06 13:13,Thur,21300.0,퇴계동,1.0,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-04 17:23,Sat,16500.0,후평 3동,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
2020-04-05 14:56,Sun,14100.0,후평 3동,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,
2020-01-02 12:27,Thur,14300.0,효자 2동,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
2020-04-26 11:05,Sun,33300.0,석사동,1.0,3.0,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,
2020-01-26 12:50,Sun,34900.0,후평 1동,3.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,,,,
2019-08-19 12:10,Mon,19300.0,후평 2동,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,
2020-02-26 13:08,Wed,15300.0,약사명동,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,
2020-01-26 12:16,Sun,15000.0,퇴계동,,1.0,,,1.0,,,,,,,,,,,,,,2.0,,,,
2020-01-17 12:26,Fri,16300.0,퇴계동,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,
2019-10-27 11:57,Sun,22300.0,후평 2동,2.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,
2020-03-20 11:29,Fri,25800.0,동면,1.0,,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,
