product_id,product_name,category,price,review_score,review_count,sales_month_1,sales_month_2,sales_month_3,sales_month_4,sales_month_5,sales_month_6,sales_month_7,sales_month_8,sales_month_9,sales_month_10,sales_month_11,sales_month_12
315,Product_315,Sports,418.81,2.8,273,226,534,370,136,998,729,811,233,224,324,140,907
619,Product_619,Books,404.07,3.2,19,888,489,383,452,916,75,677,144,52,590,901,792
241,Product_241,Toys,470.53,4.5,887,784,548,566,854,246,617,396,647,210,123,55,733
51,Product_51,Health,484.94,4.5,896,675,386,64,880,734,793,583,337,301,85,720,98
128,Product_128,Clothing,431.06,2.6,561,30,6,844,916,517,338,13,692,470,121,541,752
230,Product_230,Electronics,317.41,2.6,787,174,72,497,961,49,755,760,674,47,745,468,292
547,Product_547,Clothing,61.21,4.2,262,138,2,612,523,750,503,280,654,95,765,904,390
856,Product_856,Clothing,99.39,2.0,365,87,917,922,939,611,161,891,939,970,891,0,884
403,Product_403,Health,255.1,1.1,83,330,539,9,540,617,402,74,462,319,636,244,169
537,Product_537,Clothing,425.58,1.7,584,579,556,673,913,80,372,891,427,84,769,758,169
943,Product_943,Sports,327.45,4.1,820,554,233,366,840,937,188,445,678,848,517,958,46
302,Product_302,Books,268.02,4.7,692,27,302,389,42,938,433,291,454,918,204,796,655
23,Product_23,Books,149.61,4.7,596,302,337,855,224,297,119,776,181,154,790,55,745
397,Product_397,Health,429.91,2.7,270,646,649,629,746,825,164,753,136,795,847,912,253
362,Product_362,Sports,323.43,1.8,401,464,456,695,877,105,460,866,769,316,671,844,825
523,Product_523,Toys,485.11,2.4,772,619,715,959,382,846,997,596,873,22,471,501,370
584,Product_584,Sports,167.73,3.0,945,426,249,821,579,333,727,105,479,30,215,412,483
412,Product_412,Health,475.28,1.4,173,58,117,112,272,816,819,873,950,314,712,835,881
29,Product_29,Books,298.25,2.3,196,112,217,30,987,548,56,414,983,320,981,834,112
307,Product_307,Toys,260.57,3.9,338,487,68,492,857,129,587,463,57,901,804,502,498
977,Product_977,Toys,299.56,2.0,511,330,275,134,478,468,2,880,900,988,37,584,827
464,Product_464,Sports,293.77,3.6,881,411,820,69,729,157,574,742,824,113,872,705,212
787,Product_787,Books,293.78,3.5,392,510,354,280,274,486,619,68,748,320,916,713,998
91,Product_91,Clothing,64.2,4.8,423,187,72,200,600,14,176,958,921,782,590,914,640
980,Product_980,Home & Kitchen,300.44,4.4,116,139,727,489,190,7,371,271,410,293,845,821,967
419,Product_419,Electronics,337.9,2.8,375,609,508,281,684,845,116,984,687,970,572,899,684
92,Product_92,Electronics,358.06,3.6,598,321,480,446,321,216,138,852,363,620,589,207,7
846,Product_846,Toys,210.24,2.0,109,101,939,297,657,595,516,605,195,419,257,760,51
179,Product_179,Sports,468.68,4.0,504,95,368,382,336,386,39,81,236,186,942,76,316
304,Product_304,Electronics,320.53,3.2,41,939,594,945,967,847,27,180,289,280,567,516,742
691,Product_691,Sports,165.22,1.7,629,660,886,124,11,93,87,964,519,655,141,733,812
404,Product_404,Home & Kitchen,414.1,3.9,622,775,10,210,466,774,413,269,436,798,703,994,689
176,Product_176,Books,91.31,3.2,709,860,492,761,709,707,759,577,395,938,113,222,267
413,Product_413,Health,475.55,2.1,327,643,910,270,962,51,18,721,941,945,725,24,340
455,Product_455,Books,60.04,1.1,598,300,268,947,747,211,57,921,196,305,949,297,760
278,Product_278,Clothing,326.73,4.9,377,30,87,71,203,13,280,546,977,200,768,526,181
703,Product_703,Home & Kitchen,171.62,2.2,419,551,574,422,170,912,357,172,160,333,416,840,484
76,Product_76,Toys,365.86,2.7,708,44,107,830,420,191,434,829,998,252,773,124,866
992,Product_992,Home & Kitchen,348.87,1.6,443,32,295,287,819,660,45,287,559,275,143,958,618
721,Product_721,Toys,469.48,1.6,796,614,698,287,55,887,502,1000,642,790,478,268,67
795,Product_795,Books,13.96,1.2,31,305,536,585,288,333,666,605,788,82,61,307,184
449,Product_449,Electronics,191.25,4.8,988,361,294,883,305,610,29,642,112,911,472,657,552
788,Product_788,Electronics,203.42,3.5,930,419,514,923,849,859,472,610,137,730,684,790,654
730,Product_730,Health,86.01,3.5,73,994,913,201,480,987,178,769,784,745,466,552,846
734,Product_734,Health,263.92,2.7,30,366,992,375,993,857,782,165,851,941,908,715,969
342,Product_342,Books,239.37,2.9,855,613,136,176,937,250,743,870,21,975,356,233,341
274,Product_274,Books,457.05,1.2,646,209,134,236,674,703,913,332,753,175,887,69,303
819,Product_819,Home & Kitchen,32.11,3.5,827,752,314,502,418,729,443,860,219,399,456,855,51
863,Product_863,Clothing,264.57,1.7,554,197,654,886,681,237,65,757,228,574,86,85,1000
289,Product_289,Books,146.84,1.1,131,99,384,614,684,92,938,324,366,622,567,287,329
