index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
304,1999.0,NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€ ,"Masashi Kishimoto, Katy Bridges",eng,Excellent,4.35,104633,nonfiction,288.09,172.854,0.99,325,HarperCollins Christian Publishing,291
659,2011.0,Rules of Civility,Amor Towles,eng,Intermediate,3.99,75541,genre fiction,712.81,427.686,5.99,760,Penguin Group (USA) LLC,40824
461,2005.0,The Twilight Saga,"Stephenie Meyer, Ilyana Kadushin, Matt Walters",,Intermediate,3.88,89204,genre fiction,1632.28,979.368,9.49,513,Penguin Group (USA) LLC,4644
476,2004.0,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,en-GB,Intermediate,3.79,83607,nonfiction,1294.54,776.724,7.66,526,Simon and Schuster Digital Sales Inc,4563
46,1975.0,Tuck Everlasting,Natalie Babbitt,eng,Intermediate,3.85,174280,nonfiction,3582.0,2149.2,1.99,48,"Amazon Digital Services,  Inc.",1800
390,2015.0,All the Bright Places,"Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ",eng,Excellent,4.19,132087,genre fiction,423.87,254.322,1.99,423,HarperCollins Publishers,5751
494,2003.0,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,en-US,Intermediate,3.92,82090,genre fiction,162.36,0.0,0.99,546,"Amazon Digital Services,  Inc.",4428
136,2009.0,Along for the Ride,Sarah Dessen,eng,Intermediate,4.08,151721,genre fiction,9412.15,5647.29,11.99,143,Penguin Group (USA) LLC,785
329,1988.0,The Bean Trees,Barbara Kingsolver,eng,Intermediate,3.94,105032,children,1635.93,981.558,6.57,352,"Amazon Digital Services,  Inc.",249
211,2012.0,Wool Omnibus,Hugh Howey,eng,Intermediate,4.24,81982,genre fiction,2250.49,1350.294,4.99,229,Penguin Group (USA) LLC,451
408,2013.0,Reconstructing Amelia,Kimberly McCreight,eng,Intermediate,3.82,86965,nonfiction,198.99,119.394,0.99,447,"Amazon Digital Services,  Inc.",5427
391,1997.0,DÃ©jÃ  Dead,Kathy Reichs,eng,Intermediate,3.86,100369,genre fiction,1062.87,637.722,4.99,424,Hachette Book Group,5751
