Unnamed: 0,id,date,time,name,size,type,price
37950,2015-016436,2015-10-03,22:30:00,hawaiian,S,classic,10.5
17167,2015-007417,2015-05-05,11:38:01,spin_pesto,L,veggie,20.75
44299,2015-019111,2015-11-22,18:44:16,thai_ckn,L,chicken,20.75
42801,2015-018471,2015-11-11,15:25:50,soppressata,L,supreme,20.75
2731,2015-001182,2015-01-20,18:33:48,brie_carre,S,supreme,23.65
23968,2015-010338,2015-06-23,12:36:36,spinach_supr,L,supreme,20.75
19698,2015-008500,2015-05-22,20:07:41,four_cheese,L,veggie,17.95
33333,2015-014448,2015-08-29,18:04:46,bbq_ckn,M,chicken,16.75
22527,2015-009705,2015-06-12,13:28:13,ital_supr,M,supreme,16.5
36198,2015-015678,2015-09-19,15:21:29,brie_carre,S,supreme,23.65
39256,2015-016977,2015-10-15,13:59:51,four_cheese,L,veggie,17.95
38016,2015-016456,2015-10-04,15:20:22,bbq_ckn,M,chicken,16.75
23445,2015-010121,2015-06-19,13:45:09,spin_pesto,L,veggie,20.75
15695,2015-006758,2015-04-24,12:34:56,sicilian,S,supreme,12.25
17969,2015-007739,2015-05-10,17:49:23,pep_msh_pep,M,classic,14.5
19730,2015-008517,2015-05-23,12:21:27,four_cheese,M,veggie,14.75
1971,2015-000855,2015-01-15,12:56:54,five_cheese,L,veggie,18.5
40186,2015-017355,2015-10-22,15:43:23,bbq_ckn,M,chicken,16.75
13364,2015-005749,2015-04-07,12:51:50,thai_ckn,M,chicken,16.75
8497,2015-003659,2015-03-03,14:03:25,spin_pesto,S,veggie,12.5
10943,2015-004706,2015-03-20,19:16:21,spin_pesto,M,veggie,16.5
45057,2015-019422,2015-11-27,13:09:11,mexicana,L,veggie,20.25
19810,2015-008546,2015-05-23,18:48:51,spinach_supr,L,supreme,20.75
20379,2015-008794,2015-05-28,11:42:39,ital_veggie,M,veggie,16.75
24272,2015-010467,2015-06-25,13:49:25,spinach_fet,M,veggie,16.0
37430,2015-016204,2015-09-30,17:01:53,mexicana,L,veggie,20.25
24474,2015-010554,2015-06-26,18:56:12,thai_ckn,L,chicken,20.75
39028,2015-016887,2015-10-14,12:20:21,spin_pesto,S,veggie,12.5
43715,2015-018849,2015-11-18,12:52:51,spinach_fet,S,veggie,12.0
5374,2015-002338,2015-02-08,18:51:54,thai_ckn,M,chicken,16.75
17288,2015-007472,2015-05-06,12:26:18,prsc_argla,S,supreme,12.5
18569,2015-008002,2015-05-14,19:35:06,bbq_ckn,M,chicken,16.75
10496,2015-004506,2015-03-17,17:18:34,prsc_argla,M,supreme,16.5
49351,2015-021251,2015-12-30,12:45:20,ital_veggie,L,veggie,21.0
4500,2015-001965,2015-02-02,16:10:04,hawaiian,L,classic,16.5
40029,2015-017294,2015-10-21,13:48:08,mediterraneo,L,veggie,20.25
20793,2015-008959,2015-05-30,20:34:59,peppr_salami,M,supreme,16.5
27609,2015-011922,2015-07-18,17:54:33,four_cheese,L,veggie,17.95
27646,2015-011938,2015-07-18,19:46:35,spinach_fet,M,veggie,16.0
13912,2015-005987,2015-04-11,15:20:02,spin_pesto,L,veggie,20.75
47113,2015-020298,2015-12-11,14:52:26,spicy_ital,L,supreme,20.75
16660,2015-007199,2015-05-01,14:38:41,spicy_ital,S,supreme,12.5
45371,2015-019557,2015-11-28,19:52:34,napolitana,M,classic,16.0
46723,2015-020116,2015-12-08,16:20:17,spicy_ital,L,supreme,20.75
4176,2015-001822,2015-01-31,18:17:53,ital_supr,L,supreme,20.75
38136,2015-016509,2015-10-06,13:56:17,classic_dlx,M,classic,16.0
23552,2015-010167,2015-06-19,21:27:52,thai_ckn,L,chicken,20.75
14921,2015-006404,2015-04-18,13:49:20,spicy_ital,S,supreme,12.5
30244,2015-013101,2015-08-07,12:55:36,ckn_alfredo,M,chicken,16.75
44191,2015-019056,2015-11-21,19:19:55,pepperoni,S,classic,9.75
