year,quarter,county,sales
2015,2,Douglas,142661000
2009,1,Larimer,95235000
2014,3,Boulder,218816000
2015,4,Arapahoe,865649000
2008,2,Fremont,8924000
2015,2,Boulder,224158000
2014,2,Larimer,208887000
2013,4,Jefferson,324108000
2008,1,Adams,231609000
2010,2,Denver,177831000
2013,1,Broomfield,35785000
2013,4,El Paso,423492000
2010,1,El Paso,263662000
2013,2,Rest of State,143023000
2009,3,Mesa,69293000
2009,1,Pueblo,55351000
2015,1,Larimer,209631000
2010,1,Mesa,59703000
2009,4,Adams,160889000
2014,3,Denver,242122000
2011,4,Fremont,9465000
2012,1,Mesa,71829000
2012,4,Arapahoe,658145000
2008,1,Mesa,98293000
2014,1,La Plata,27358000
2008,2,Douglas,88128000
2010,2,La Plata,19055000
2010,1,Broomfield,26093000
2015,2,Weld,197771000
2009,4,Garfield,37662000
2010,2,Arapahoe,473095000
2010,4,Fremont,8884000
2010,1,Jefferson,189394000
2012,4,La Plata,22035000
2014,3,Larimer,234870000
2012,1,La Plata,21305000
2012,3,Jefferson,291732000
2008,1,Jefferson,277611000
2009,3,La Plata,19444000
2013,1,Larimer,157853000
2015,3,Broomfield,52778000
2009,1,Boulder,103053000
2014,1,Larimer,178962000
2013,1,Boulder,159893000
2013,2,Mesa,81005000
2013,1,Garfield,45163000
2008,4,Garfield,42038000
2010,2,Mesa,63419000
2012,2,Weld,154341000
2010,3,Fremont,9879000
