Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Control,Low Value,210.8861326305249,257.4300589122378,56.59552462359326,70.22235046983698,Yes
Control,Low Value,159.92436438214537,182.3904312235581,65.28267069239193,74.62530781509636,No
Treatment,Low Value,248.64886316499377,385.8087120777493,53.49072345137286,60.97671540373241,No
Control,Low Value,233.444174050194,274.1499272548053,44.99806468843505,45.81146777894856,No
Treatment,Low Value,148.59595679531645,233.26732892640223,65.76359828267657,72.10635437325179,No
Control,Low Value,202.48285280774616,246.63975539004588,52.30324703352639,46.22435145671047,No
Treatment,High Value,256.0035933918945,416.1098326537437,70.24902619495936,100.0,Yes
Control,Low Value,173.32722009625806,206.26006383665808,48.600177811496806,46.46560666527275,Yes
Treatment,Medium Value,196.75476177710908,290.86456255267825,81.21524039620599,88.60958947799185,Yes
Treatment,Medium Value,306.54508644994445,481.0032776630077,64.32533458604462,65.34727323901811,Yes
Control,High Value,169.22317926987617,206.8438957821899,82.63871040878333,91.40185902877973,Yes
Control,Low Value,202.9201721219332,243.31530357227612,38.56450349728633,43.38292026390394,No
Control,Low Value,212.2265294950261,256.04985204117514,59.220890322441065,70.73642845998641,No
Control,Low Value,151.2999780489657,178.1996292178333,59.21813448374425,56.897354183833365,Yes
Control,High Value,279.77052937712193,336.3218511827639,64.78162206852154,67.92987298271294,No
Control,Medium Value,84.46552732773516,101.02035014708196,35.596989149969964,43.04034237099082,No
Treatment,Low Value,217.6162354553777,337.1514643574418,51.721523608388026,50.49184729446521,Yes
Treatment,High Value,306.11056932567897,465.5451552616405,96.56480026868012,97.29332152562894,Yes
Control,High Value,201.57625358606356,248.1128253813506,100.0,100.0,No
Treatment,Low Value,171.18310584010257,277.49610391143545,70.24902619495936,56.81488694959633,Yes
Treatment,High Value,223.58544664987195,355.8038003271361,76.10408787206556,86.96384436109626,Yes
Treatment,High Value,227.3418486787941,366.9430522769029,100.0,100.0,Yes
Treatment,Low Value,189.73368579006944,304.50564654293925,55.38874554351872,62.803462297539454,No
Control,Low Value,169.096499450276,206.17362161716767,46.65575142699794,57.54788481695254,Yes
Treatment,High Value,296.700037712834,468.4547953751169,98.81516305823712,100.0,No
Treatment,High Value,183.867880984226,265.93073848799884,98.95781705835132,100.0,Yes
Control,Medium Value,215.9607650893143,245.2413262426519,68.88174305151824,60.7675328217812,No
Control,Medium Value,156.1977076650516,178.2566923127292,66.64745423112026,89.31964327066387,Yes
Control,Medium Value,200.9837342499621,244.16161731253905,73.1074286934106,84.4062554524232,Yes
Control,High Value,221.01554379771292,262.8643230161378,71.08520047843656,66.53990977607111,Yes
Control,Medium Value,122.4617888150666,144.9380495659363,72.68378684748585,81.17913744277095,Yes
Control,Medium Value,192.80187455392476,233.5795792273472,81.99401482900033,71.05994803995264,Yes
Control,Low Value,145.6525725440304,164.78647249446,65.27462662026386,69.17764738267702,Yes
Treatment,Medium Value,201.5658953764653,311.78154944298467,60.16393614979937,55.25198595667974,No
Treatment,Low Value,99.91053172036456,151.24540932387438,49.565412366506735,42.48715009098987,No
Treatment,Medium Value,178.82590192681664,274.49410391144363,84.17040163448148,68.42509623234054,Yes
Treatment,High Value,191.51234455797095,294.24022176830726,94.3007729897886,100.0,No
Treatment,High Value,279.6232411791186,433.4558895084348,91.6608234323639,100.0,Yes
Control,Medium Value,177.3509024783999,210.2921602757289,71.95489155275745,81.33169307543669,No
Control,High Value,155.66981383658717,173.87325067568602,91.19002361724527,84.47344316278729,Yes
Treatment,High Value,277.57338704961205,423.343503490729,90.10568786601114,75.3859216255445,No
Control,Low Value,231.50779337872947,280.7434401732806,49.87446181611255,69.84301405342242,No
Control,Medium Value,186.7502992549467,223.6942037926949,74.80390711550338,80.56842127605877,Yes
Control,High Value,327.93557930491534,403.04072838519977,85.90986944268255,80.6368586559805,No
Control,High Value,263.6012148841513,314.80286517185635,89.52949167354139,100.0,No
Treatment,High Value,223.1362580248508,331.8031401335032,73.83259937122892,77.04387183100845,Yes
Treatment,Low Value,256.0901660559366,406.64851706171646,61.45718395207588,66.67128823792743,Yes
Treatment,Medium Value,118.81738674361144,171.35564512371175,81.11858613772621,82.30216296344166,No
Treatment,High Value,222.4141841644501,329.54888996315657,100.0,99.52099248741568,No
Treatment,High Value,308.1054893299716,469.2091642615971,71.4969463664479,60.40848190907517,No
