Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Christmas,1,22.0,0.0,0.0,22.0
Christmas,15,288.0,-3.6,-18.0,266.4
Accessories,1,58.0,0.0,0.0,58.0
Music,3,174.0,0.0,0.0,174.0
Basket,1,175.0,-17.5,0.0,157.5
Jewelry,2,32.0,0.0,0.0,32.0
Basket,1,116.0,-11.6,0.0,104.4
Art & Sculpture,12,192.0,-6.42,0.0,185.58
Basket,1,175.0,0.0,0.0,175.0
Basket,6,1050.0,-17.5,0.0,1032.5
Art & Sculpture,4,158.8,-8.38,0.0,150.42
Kids,2,31.5,0.0,0.0,31.5
Home Decor,1,32.0,-3.2,0.0,28.8
Kitchen,2,36.0,0.0,0.0,36.0
Art & Sculpture,3,384.0,-12.8,0.0,371.2
Art & Sculpture,2,90.0,-2.5,0.0,87.5
Art & Sculpture,2,1625.0,-5.0,0.0,1620.0
Accessories,5,116.0,-4.41,0.0,111.59
Christmas,15,270.0,0.0,0.0,270.0
Basket,1,185.0,0.0,0.0,185.0
Art & Sculpture,18,1352.0,-31.99,-258.0,1062.01
Kitchen,1,22.0,0.0,0.0,22.0
Basket,1,125.0,0.0,0.0,125.0
Art & Sculpture,9,198.0,0.0,0.0,198.0
Basket,3,360.0,-24.0,0.0,336.0
Jewelry,6,84.0,0.0,0.0,84.0
Basket,3,144.0,-4.8,0.0,139.2
Kitchen,7,126.0,-5.4,0.0,120.6
Basket,3,144.0,-4.8,0.0,139.2
Basket,1,58.0,-11.6,0.0,46.4
Soapstone,1,14.0,0.0,0.0,14.0
Jewelry,2,56.0,-11.2,0.0,44.8
Home Decor,4,166.6,0.0,0.0,166.6
Basket,1,42.0,0.0,0.0,42.0
Art & Sculpture,3,57.0,-1.9,0.0,55.1
Kitchen,1,88.0,0.0,-44.0,44.0
Art & Sculpture,3,115.0,-3.5,0.0,111.5
Christmas,3,66.0,-2.2,0.0,63.8
Jewelry,1,72.0,-7.2,0.0,64.8
One-of-a-Kind,1,450.0,-45.0,0.0,405.0
Art & Sculpture,1,82.0,-16.4,0.0,65.6
Christmas,6,132.0,0.0,0.0,132.0
Fair Trade Gifts,1,24.0,0.0,0.0,24.0
Basket,3,114.0,-11.6,-28.0,74.4
Basket,1,185.0,-18.5,0.0,166.5
Kids,2,68.0,0.0,0.0,68.0
Kitchen,7,76.5,-3.67,0.0,72.83
Jewelry,1,38.0,0.0,0.0,38.0
Home Decor,2,90.0,-9.01,0.0,80.99
Kitchen,8,100.0,0.0,0.0,100.0
