product_name,website,country,category,subcategory,title-href,price,brand,ingredients,form,type,color,size,rating,noofratings
Laneige Lip Sleeping Mask,Amazon,India,lips,lipbalm,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODAzOTQwMDc1OTgwMjY6MTY3NzE2MTc5MzpzcF9idGY6MjAwNzc1MjM2MzM2OTg6OjA6Og&url=%2FLaneige-Sleeping-Mask_EX-Moisturized-Vitamin%2Fdp%2FB09WCTJ113%2Fref%3Dsr_1_203_sspa%3Fcrid%3D34R2TM9K7WK8A%26keywords%3Dlip%2Bbalm%26qid%3D1677161793%26sprefix%3Dlipbalm%252Caps%252C378%26sr%3D8-203-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,6900.0,Laneige,,other,all,,,4.5,69
Colorblock Felt Liner - 05 Tropical Juice,Sephora,India,eyes,eyeliner,https://sephora.nnnow.com/sephora-collection-women-colorblock-felt-liner---05-tropical-juice-5FH7H64BG6Z,1000.0,Sephora Collection,"Aqua (Water), Styrene/Acrylates/Ammonium Methacrylate Copolymer, CI 77510 (Ferric Ferrocyanide), Methylpropanediol, Cellulose, Poloxamer 407, CI 77891 (Titanium Dioxide), Coco-Glucoside, PEG-60 Hydrogenated Castor , Phenoxyethanol, Styrene/Acrylates Copolymer, Potassium Sorbate, Citric Acid, Sodium Benzoate, Caprylyl Glycol, Sodium Laureth-12 Sulfate, Sodium Lauryl Sulfate, Sodium Dehydroacetate, BHT.",pen,matte,05 Tropical Juice,0.6,4.11,11
Color Protect Shampoo,ulta,USA,hair,shampoo,https://www.ulta.com/p/color-protect-shampoo-pimprod2008822?sku=2552862,1797.02,Pravana,"Water (Aqua, Eau), Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Cocamidopropyl Hydroxysultaine, Fragrance (Parfum), Benzyl Alcohol, Glycol Distearate, Bis-Diisopropanolamino -Pg-Propyl Dimethicone/Bis-Isobutyl Peg-14 Copolymer, Laureth-4, Polyquaternium-55, Guar Hydroxypropyltrimo Nium Chloride, Dehydroacetic Acid, Citric Acid, Sodium Hydroxide, Polysorbate 20, Butyloctanol, Limonene, Phenoxyethanol, Caprylyl Glycol, Tocopheryl Acetate, Retinyl Palmitate, Silk Amino Acids, Tocopherol.",liquid,"wavy,straight",No color,330,3.3,34
"Swiss Beauty 12 Hrs. Stay Matte Lip Crayon, Red Flag, 3g - Long Lasting, Waterproof, Super Stay, Matte Finish Lip Crayon, Long Wear, Crayon Lipstick",Amazon,India,lips,lipliner,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzQ5MTYxNjY2NTI0Mzk3OjE2NzcxNjgyODk6c3BfYXRmX25leHQ6MjAwOTQzMDQ2OTk4OTg6OjA6Og&url=%2FSwiss-Beauty-Hrs-Matte-Crayon%2Fdp%2FB08YZ433QF%2Fref%3Dsr_1_147_sspa%3Fcrid%3D2Y7AYLG6LX3II%26keywords%3Dlipliner%26qid%3D1677168289%26sprefix%3Dlipliner%252Caps%252C277%26sr%3D8-147-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,249.0,SWISS BEAUTY,,stick,all,Red Flag,,4,325
Bubble Bath And Shower Gel - Argan,Sephora,India,body,bodywash,https://sephora.nnnow.com/sephora-collection-bubble-bath-and-shower-gel---argan-7AVJ7090SI7,900.0,Sephora Collection,"Aqua (Water), Ammonium Lauryl Sulfate, Glycerin, Sodium Chloride, Cocamidopropyl Betaine, Parfum (Fragrance), Sodium Benzoate, Potassium Sorbate, Benzoic Acid, Citric Acid, Ci 16035 (Red 40), Methyl Anthranilate, Ci 19140 (Yellow 5), Argania Spinosa Kernel Extract, Sodium Hydroxide, Ci 42090 (Blue 1)",gel,,,260,4.5,41
"The Man Company Black EDT Perfume For Men - 50 | Premium Long Lasting Fragrance Spray | Gift for Husband, Boyfriend",Flipkart,India,body,perfume,https://www.amazon.in/Man-Company-Black-EDT-India/dp/B08BLKW619/ref=sr_1_25?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677662152&sprefix=perfumes%2Caps%2C356&sr=8-25,399.0,The Man Company,,liquid,,"EDT or Eau de Toilette is your best pal. Whether you are travelling, going to the office for an urgent meeting, or spending a laid-back Sunday at a friend's place, a versatile EDT will never fail you. While it is essential to have an excellent scented Eau de Toilette, it is also vital that the product is friendly on your masculine skin.",50,4.3,10
Crystal Lip Gloss,ulta,USA,lips,lipgloss,https://www.ulta.com/p/crystal-lip-gloss-pimprod2021308?sku=2574234,1634.0,Anastasia Beverly Hills,"Dimethiocne, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Cetyl Peg/Ppg-10/1 Dimethicone, Paraffin, Fragrance/Parfum, Limonene.",liquid,shimmer,Glass (translucent),144,4.5,294
mCaffeine Exfoliating Coffee Body Scrub & Relaxing Body Massage Oil for Soft-Glowing Skinï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Flipkart,India,skincare,serum,https://www.flipkart.com/mcaffeine-exfoliating-coffee-body-scrub-relaxing-massage-oil-soft-glowing-skin/p/itmf8d6d669b06ae?pid=CBKGGZSQHCZRYGAN&lid=LSTCBKGGZSQHCZRYGANW1XQSA&marketplace=FLIPKART&q=serum+face&store=g9b%2Fema%2F5la&srno=s_7_278&otracker=search&otracker1=search&iid=8f336452-815f-4796-aa52-142277092deb.CBKGGZSQHCZRYGAN.SEARCH&ssid=pj54geuqkg0000001677676087164&qH=32acf39226151586,724.0,mCaffeine ,,liquid,all,No color,,4.5,667
Capture Totale Dreamskin 1-Minute Mask,Sephora,India,skincare,mask,https://sephora.nnnow.com/dior-capture-totale-dreamskin-1-minute-mask-ZBTJMCWO57D,6600.0,Dior,"Aqua (Water), Glycerin, Polysorbate 20, Glycolic Acid, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Butylene Glycol, CI 77891 (Titanium Dioxide), Hydrogenated Polyisobutene, Alcohol, Citric Acid, Sodium Hydroxide, Simmondsia Chinensis (Jojoba) Seed , Malva Sylvestris (Mallow) Extract, Hibiscus Sabdariffa Flower Extract, Aframomum Angustifolium Seed Extract, Jasminum Officinale (Jasmine) Flower Extract, Dipotassium Glycyrrhizate, Ascorbyl Glucoside, Saponins, Palmaria Palmata Extract, Parfum (Fragrance), Xanthan Gum, Sclerotium Gum, Xylitol, Chlorphenesin, Polysorbate 60, Sorbitan Isostearate, Synthetic Fluorphlogopite, Zea Mays (Corn) Starch, Hydrogenated Lecithin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Potassium Sorbate, Sodium Benzoate, Tocopherol, Tin Oxide, CI 14700 (Red 4), Pentylene Glycol",cream,,,75,4.14,14
"Deputy Hd Pro Face Concealer Orange, Green, Yellow, Creamy Beige (4pcs) Concealer Natural (Multicolor, 32g) 8g Each",Amazon,India,face,concealer,https://www.amazon.in/Deputy-Conceal-Orange-Concealer-Multicolor/dp/B08TCKPVXN/ref=sr_1_30?crid=54YWD9XCTHR1&keywords=concealer&qid=1677663687&sprefix=conce%2Caps%2C186&sr=8-30,249.0,Deputy,"Aqua/ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½Water/ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½Eau, Dimethicone, Isododecane, Dimethicone, Dimethicone/ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½Vinyl Dimethicone Crosspolymer, Butylene Glycol, PEG-9 Dimethicone, Talc, Triethoxycaprylylsilane, Silica, Phenoxyethanol, Disteardimonium Hectorite, Sodium Chloride, Caprylyl Glycol, Chlorphenesin, Propylene Carbonate, Tocopheryl Acetate, Disodium EDTA, Niacinamide, Titanium Dioxide (Ci 77891), Chromium",cream,Lightweight Formula,"Yellow,Orange,Multicolor,Green,Beige",,3.90,548 ratings
