TransactionNo,Items,DateTime,Daypart,DayType
297,Muffin,2016-02-11 12:06:51,Afternoon,Weekday
7145,Scandinavian,2017-02-25 09:17:08,Morning,Weekend
4408,Bread,2017-09-01 09:01:09,Morning,Weekday
2521,Coffee,2016-03-12 11:38:50,Morning,Weekend
1035,Coffee,2016-11-11 10:12:35,Morning,Weekday
5806,Cake,2017-02-02 14:09:18,Afternoon,Weekday
523,Fudge,2016-04-11 20:00:47,Evening,Weekday
6449,Baguette,2017-12-02 11:08:17,Morning,Weekend
9485,Coke,2017-06-04 13:58:10,Afternoon,Weekday
1066,Farm House,2016-11-11 12:21:37,Afternoon,Weekday
2102,Medialuna,2016-11-26 11:01:12,Morning,Weekend
5597,Scone,2017-01-29 12:48:58,Afternoon,Weekend
5948,Coffee,2017-04-02 12:51:42,Afternoon,Weekend
9192,Coffee,2017-01-04 11:40:00,Morning,Weekend
9471,Christmas common,2017-06-04 11:39:24,Morning,Weekday
3560,Cake,2016-12-20 15:45:17,Afternoon,Weekday
1293,Coffee,2016-11-14 10:49:38,Morning,Weekday
9222,Alfajores,2017-01-04 15:44:07,Afternoon,Weekend
8824,Cake,2017-03-25 16:56:55,Afternoon,Weekend
3763,Hot chocolate,2016-12-23 15:16:10,Afternoon,Weekday
9516,Medialuna,2017-07-04 10:44:29,Morning,Weekday
8825,Bread,2017-03-25 17:09:03,Evening,Weekend
369,Farm House,2016-03-11 10:26:03,Morning,Weekday
8727,Pastry,2017-03-25 09:05:24,Morning,Weekend
189,Coffee,2016-01-11 10:29:02,Morning,Weekday
5792,Bread,2017-02-02 11:28:36,Morning,Weekday
6939,Alfajores,2017-02-20 16:26:39,Afternoon,Weekday
9358,Bread,2017-04-04 11:23:21,Morning,Weekday
7646,Cake,2017-05-03 12:59:49,Afternoon,Weekend
8540,Coffee,2017-03-21 14:35:10,Afternoon,Weekday
2061,Coffee,2016-11-25 16:02:01,Afternoon,Weekday
6194,Alfajores,2017-07-02 15:54:36,Afternoon,Weekday
7133,Mineral water,2017-02-24 16:49:59,Afternoon,Weekday
4520,Coffee,2017-11-01 11:12:05,Morning,Weekday
1542,Bread,2016-11-17 16:15:13,Afternoon,Weekday
5803,Bread,2017-02-02 14:00:10,Afternoon,Weekday
2487,Scandinavian,2016-03-12 09:14:38,Morning,Weekend
799,Coffee,2016-07-11 14:40:37,Afternoon,Weekday
669,Bread,2016-06-11 11:09:23,Morning,Weekend
1899,Sandwich,2016-11-23 10:22:23,Morning,Weekday
1281,Pastry,2016-11-14 09:31:00,Morning,Weekday
2348,Muffin,2016-11-30 13:31:06,Afternoon,Weekday
2126,Coffee,2016-11-26 13:17:01,Afternoon,Weekend
2220,Medialuna,2016-11-28 08:38:56,Morning,Weekday
7873,Bread,2017-10-03 10:02:09,Morning,Weekday
3020,Tea,2016-11-12 15:26:13,Afternoon,Weekend
2400,Bread,2016-01-12 14:05:58,Afternoon,Weekday
594,Coffee,2016-05-11 12:27:50,Afternoon,Weekend
9230,Coffee,2017-01-04 17:30:11,Evening,Weekend
4288,Coffee,2017-07-01 10:33:26,Morning,Weekend
