Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,Size,ABV
5265,Selfmade Brew,Selfmade Patterns 0.5,280.0,Pieces,Russia,0.5,5.3
1125,XP Brew,XP Exppi,320.0,Pieces,Russia,,
4733,WildLab,WildLab Sa Trinxa Barrel,680.0,Liters,Russia,1.0,8.0
3742,,Ame Wild Freaks Shine Bright 0.3,400.0,Pieces,Russia,0.3,7.0
4457,,The Bruery Terreux Frucht: Fruit Punch Barrel,1340.0,Liters,,1.0,4.7
2411,Bakunin,"Bakunin & De Molen Terpenie i Trud 10,6% Barrel",1400.0,Liters,Russia,1.0,10.6
507,Omnipollo,"Omnipollo Madzhik #3 Pajnepl Goze / 3,5% / Barrel 30l",840.0,Liters,Sweden,1.0,3.5
2536,,Oka River Oud Bruin Framboise 0.5 Renegade Of Hops,450.0,Pieces,,0.5,4.0
617,Brewski,"Brewski Conan / double IPA / 8% / 0,33",430.0,Pieces,Sweden,0.33,8.0
1092,Saldens,Saldens Cider / Double India Brown Ale / Hard Seltzer vse versii 0.5,330.0,Pieces,Russia,0.5,5.4
860,Founders,Founders Rubaeus,880.0,Liters,USA,1.0,5.7
4451,,Prairie Paradise Barrel20,1260.0,Liters,,1.0,13.0
547,Evil Twin,"Evil Twin Ashtray Heart / smoked porter / 8,9% / 0,355",550.0,Pieces,USA,0.355,8.9
2294,XP Brew,XP Printempo 5% Barrel,600.0,Liters,Russia,1.0,
3620,Oskar Blues,"Oskar Blues Ten Fidy BA 0,568",920.0,Pieces,USA,0.568,12.9
3092,BrewDog,Brewdog Brutalist / Brut IPA / 6% / 0.33,280.0,Pieces,United Kingdom,0.33,6.0
5006,,Odna Tonna All Together 0.33,280.0,Pieces,,0.33,6.0
4298,Connecticut Valley,Connecticut Valley Star Gazer 0.473,720.0,Pieces,USA,0.473,8.1
113,Brasserie La Debauche,"Brasserie La Debauche Menestho / oatmeal stout / 5,5% / 0,but.",340.0,Pieces,France,0.33,5.5
3438,Kees,Kees Barrel Project 18.0.33,550.0,Pieces,Netherlands,0.33,11.3
4062,Stamm Beer,Stamm Beer Hop Gun Citra Mosaic 0.5,350.0,Pieces,Russia,0.5,7.0
5303,Omnipollo,Omnipollo Pleroma Mango Orange Passion 0.33,450.0,Pieces,Sweden,0.33,6.0
2370,Ayinger,Ayinger Maibock / 6.9%,330.0,Pieces,Germany,0.5,6.9
3392,Mikkeller,"Mikkeller, Selfmade Brewery Zhigulikkeller / 4,2% / Lager",300.0,Pieces,,0.5,4.2
2387,Amager,Amager Maureen The Maverick Moonshiner 12%,1150.0,Pieces,Denmark,0.5,12.0
631,Sahtipaja,"Sahtipaja Mead Barrel Aged OotB / 4,5% / 0,33",650.0,Pieces,Sweden,0.33,4.5
4886,Omnipollo,Omnipollo Scope 4 Barrel,1350.0,Liters,Sweden,1.0,8.0
4604,Hausmann,Hausmann May The Siberia Be With You 0.33,270.0,Pieces,Russia,0.33,4.5
2783,Brooklyn Brewery,Brooklyn Brewery East IPA 0.355,350.0,Pieces,USA,0.355,6.9
4435,TATA Brew,Ta-Ta Patricide / Coming Out 0.33,350.0,Pieces,USA,0.33,5.0
4047,,HQ Kombucha Black Thyme 0.33,180.0,Pieces,,,
933,Omnipollo,"Omnipollo Selassie / imperial stout / 11% / 0,33",650.0,Pieces,Sweden,0.33,11.0
2927,,Oka River,,,,,
2765,Kona,Kona Fire Rock Pale Ale 0.355,330.0,Pieces,Russia,0.355,6.0
2489,Firestone Walker,"Firestone Walker Bravo 0,355",1000.0,Pieces,USA,0.355,13.2
3009,Zagovor,Zagovor Hop Water Music Barrel,600.0,Liters,Russia,1.0,8.2
2852,Zagovor,ZAGOVOR Stop'N'Go DDH Barrel 30L,600.0,Liters,Russia,1.0,7.8
3227,Jaws,Jaws Sour Breeze Mango 0.5,240.0,Pieces,Russia,0.5,4.5
2880,Lervig,Lervig Coconuts Imperial Stout 0.33,570.0,Pieces,Norway,0.33,12.5
4613,Bakunin,"Bakunin Funky Fresh Gose 4,5%",280.0,Pieces,Russia,0.5,4.5
4041,,Mojoj Hot D'Azur B/A 0.33,180.0,Pieces,,,
3585,Founders,Founders Blushing Monk 0.355,550.0,Pieces,USA,0.355,9.2
3504,Hausmann,Hausmann Mikan Sour Barrel,560.0,Liters,Russia,1.0,4.5
5024,Zagovor,Zagovor Feierabend 0.5,330.0,Pieces,Russia,0.5,5.8
5007,Boon,Boon Oude Kriek 0.75,,Pieces,Belgium,,
2561,AF Brew,AF Brew Stereo Vario Calamansi & Mint Barrel 20L,600.0,Liters,Russia,1.0,5.3
283,Schneider Weisse,Schneider Weisse TAP 7 / hefeweizen / 5.4% / 0.5 / but,350.0,Pieces,Germany,0.5,5.4
1480,Mikkeller,Mikkeller Single Hop Nelson Sauvin / 6.9% / 0.ban,330.0,Pieces,Denmark,0.33,6.9
2153,,"Red Buton Two Dosts / Most Wonderful Can 0,5",300.0,Pieces,,0.5,6.0
587,AF Brew,PRUNUS / AF Brew HipHop Milk Barrel,400.0,Liters,Russia,1.0,5.5
