Date,F.Y,QUARTER,P_NO,PAYMENT TYPE,TYPE OF PRODUCT,Quantity,Price,Amount,TYPE OF ACCESSORY/MOBILE
07-12-2018,2018-2019,3,P/M/A58,DEBIT,MOBILE,1,8419.64,8919.64,BUDGET PHONE
21-04-2021,2021-2022,1,P/M/A63,CASH,MOBILE,1,16375.0,16875.0,MIDRANGE PHONE
31-07-2021,2021-2022,2,P/M/A9,CASH,MOBILE,1,17295.76,17795.76,MIDRANGE PHONE
19-06-2021,2021-2022,1,P/M/A13,DEBIT,MOBILE,1,20026.78,20526.78,MIDRANGE PHONE
02-06-2019,2019-2020,1,P/M/A10,DEBIT,MOBILE,1,17348.22,17848.22,MIDRANGE PHONE
26-12-2021,2021-2022,3,P/M/A20,DEBIT,MOBILE,1,19133.92,19633.92,MIDRANGE PHONE
02-10-2021,2021-2022,3,P/M/A64,DEBIT,MOBILE,1,15562.5,16062.5,MIDRANGE PHONE
08-11-2021,2021-2022,3,P/M/A65,CREDIT,MOBILE,1,4754.24,5254.24,BUDGET PHONE
18-11-2021,2021-2022,3,P/M/A9,CREDIT,MOBILE,1,16448.3,16948.3,MIDRANGE PHONE
03-04-2018,2018-2019,1,P/M/A42,DEBIT,MOBILE,1,2042.38,51696.43,FLAGSHIP PHONE
13-09-2022,2022-2023,2,P/A/21,CASH,ACCESSORY,1,508.48,1008.48,CHARGER 
21-08-2022,2022-2023,2,P/T/S1,CREDIT,TABLET,1,7550.84,8050.84,BUDGET TABLET
30-10-2018,2018-2019,3,P/M/A43,CREDIT,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
12-09-2021,2021-2022,2,P/M/A13,DEBIT,MOBILE,1,19428.58,19928.58,MIDRANGE PHONE
29-06-2021,2021-2022,1,P/M/A14,MOBILE PAYMENTS,MOBILE,1,20919.64,21419.64,MIDRANGE PHONE
30-04-2018,2018-2019,1,P/M/A43,MOBILE PAYMENTS,MOBILE,1,61017.86,61517.86,FLAGSHIP PHONE
22-01-2020,2019-2020,4,P/M/A8,CREDIT,MOBILE,1,13784.82,14284.82,BUDGET PHONE
