User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000210,P00014042,F,0-17,10,C,0,0,1,,,19698
1005283,P00086442,M,18-25,2,C,1,1,8,13.0,15.0,6002
1000302,P00111842,M,18-25,4,B,4+,0,8,,,7934
1005394,P00187442,M,18-25,0,A,2,0,2,4.0,5.0,9693
1005165,P00184942,M,36-45,6,C,1,1,1,8.0,17.0,19595
1003301,P00240942,F,26-35,2,B,3,0,8,,,7877
1002157,P00033642,F,18-25,3,C,0,0,5,8.0,,6948
1002897,P00184242,M,26-35,5,B,0,1,9,15.0,,13806
1005394,P00033542,M,18-25,0,A,2,0,5,,,6963
1001179,P00127342,M,51-55,1,B,2,1,1,2.0,15.0,11439
1000092,P00031042,F,18-25,4,B,1,0,8,,,9839
1005864,P00113242,F,51-55,1,C,1,0,1,6.0,8.0,15416
1005692,P00051442,F,26-35,7,C,1,0,8,17.0,,9987
1003788,P00351142,F,18-25,0,C,4+,1,1,8.0,17.0,12024
1005659,P00129642,M,26-35,0,C,3,1,5,,,3735
1002015,P00001042,M,18-25,4,B,4+,0,1,2.0,16.0,19244
1001202,P00121342,M,36-45,12,B,0,0,1,5.0,18.0,19654
1001636,P00025942,F,26-35,19,C,0,0,8,14.0,,8011
1001722,P00368242,M,36-45,0,C,4+,0,5,11.0,,5392
1000778,P00198742,M,18-25,17,C,4+,0,1,2.0,11.0,15891
1005811,P00242742,M,18-25,4,B,3,0,1,2.0,9.0,11539
1003476,P00232542,M,51-55,0,B,2,1,11,,,1641
1000036,P00002142,M,26-35,3,B,0,0,1,5.0,8.0,19296
1004483,P00323942,F,26-35,6,B,4+,0,8,15.0,,5852
1005822,P00125042,F,36-45,4,C,1,0,11,,,4664
1004984,P00224342,M,36-45,0,A,1,1,8,,,6188
1005717,P00163342,M,26-35,0,B,3,1,6,8.0,,8485
1003689,P00042942,M,26-35,0,C,1,1,1,15.0,,7962
1003515,P00288142,M,36-45,3,C,0,0,5,,,7138
1002051,P00005042,M,36-45,7,C,2,0,6,16.0,,16106
1005951,P00271142,M,18-25,4,B,0,1,5,,,8752
1005788,P00289942,M,26-35,0,A,4+,0,3,4.0,5.0,13535
1003058,P00193542,M,18-25,12,C,0,0,1,2.0,,12115
1004329,P00146142,F,26-35,14,B,0,1,1,2.0,15.0,3930
1005746,P00177842,M,18-25,15,B,2,0,8,,,4004
1004124,P00327442,M,26-35,18,C,1,1,5,8.0,,5200
1000710,P00053542,M,26-35,20,A,4+,0,1,,,8151
1000944,P00183442,M,36-45,0,A,3,1,1,2.0,,15456
1005634,P00259142,M,26-35,14,A,3,1,5,,,8661
1005728,P00275842,F,36-45,20,C,3,0,2,9.0,15.0,10034
1002216,P00366542,F,26-35,20,C,0,0,5,,,8889
1005916,P00159542,M,51-55,20,B,1,1,10,15.0,16.0,14245
1000190,P00022942,M,26-35,17,A,1,0,5,8.0,,3730
1005493,P00121642,M,36-45,12,B,3,0,5,14.0,,6932
1003519,P00303042,F,26-35,14,A,1,1,5,,,5240
1003024,P00354242,M,36-45,17,A,4+,0,5,,,8631
1004033,P00218442,M,26-35,6,B,1,0,1,,,15362
1001727,P00046742,M,36-45,16,B,2,1,1,2.0,15.0,15899
1001255,P00255742,M,26-35,17,A,4+,0,3,4.0,,5656
1004214,P00334242,F,26-35,0,C,0,0,1,8.0,,11540
