"metric","GPT-3.5","GPT-4o","GPT-4o-mini","llama-2-13b","llama-2-7b","llama-2-7b-4bits","llama-2-7b-8bits","llama-3-8b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.6666666666666666","0.75","0.75","0.8333333333333334","0.8","0.875","0.9166666666666666","0.8333333333333334","0.75","0.8571428571428571"
"AROnto","2.0","1.5","1.0","2.1666666666666665","1.6","0.5","0.9166666666666666","1.1666666666666667","1.0","1.4285714285714286"
"CBOOnto","0.6666666666666666","0.75","0.75","0.8333333333333334","0.8","0.875","0.9166666666666666","0.8333333333333334","0.75","0.8571428571428571"
"CBOnto2","0.6666666666666666","0.75","0.75","0.8333333333333334","0.8","0.875","0.9166666666666666","0.8333333333333334","0.75","0.8571428571428571"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0"
"INROnto","0.6666666666666666","0.75","0.75","0.8333333333333334","0.8","0.875","0.9166666666666666","0.8333333333333334","0.75","0.8571428571428571"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.2"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","2.0","3.0","3.0","5.0","4.0","7.0","11.0","5.0","3.0","3.0"
"NOMOnto","6.0","4.5","3.0","6.5","4.8","1.5","2.75","3.5","3.0","3.5714285714285716"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14285714285714285"
"PROnto","0.9","0.8571428571428571","0.8","0.8863636363636364","0.8571428571428571","0.631578947368421","0.75","0.8076923076923077","0.8","0.8064516129032258"
"RFCOnto","6.666666666666667","5.25","3.75","7.333333333333333","5.6","2.375","3.6666666666666665","4.333333333333333","3.75","4.428571428571429"
"RROnto","0.1","0.14285714285714285","0.2","0.11363636363636363","0.14285714285714285","0.3684210526315789","0.25","0.19230769230769232","0.2","0.1935483870967742"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.2"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
