"","metric","base-llm_mistral-7b"
"1","ANOnto","0.15384615384615385"
"2","AROnto","2.6153846153846154"
"3","CBOOnto","0.9230769230769231"
"4","CBOnto2","0.9230769230769231"
"5","CROnto","0.0"
"6","DITOnto","4.0"
"7","INROnto","0.9230769230769231"
"8","LCOMOnto","1.2"
"9","NACOnto","1.0"
"10","NOCOnto","4.0"
"11","NOMOnto","5.0"
"12","POnto","0.15384615384615385"
"13","PROnto","0.8441558441558441"
"14","RFCOnto","5.923076923076923"
"15","RROnto","0.15584415584415584"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.2"
"19","WMCOnto2","1.0"
