method,dataset,feature,value,prefix,id,correct
GPT-3.5,AirlinesCustomerSatisfaction,total,11,NA,NA,NA
GPT-3.5,AirlinesCustomerSatisfaction,validity,11,NA,NA,NA
GPT-3.5,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
GPT-3.5,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-3.5,AirlinesCustomerSatisfaction,URIs,owl:NamedIndividual,owl,NamedIndividual,TRUE
GPT-3.5,AmazonRating,total,11,NA,NA,NA
GPT-3.5,AmazonRating,validity,11,NA,NA,NA
GPT-3.5,AmazonRating,corrected,0,NA,NA,NA
GPT-3.5,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-3.5,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,AmazonRating,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
GPT-3.5,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-3.5,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,AmazonRating,URIs,xsd:string,xsd,string,TRUE
GPT-3.5,AmazonRating,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-3.5,AmazonRating,URIs,xsd:dateTimeStamp,xsd,dateTimeStamp,TRUE
GPT-3.5,BigBasketProducts,total,12,NA,NA,NA
GPT-3.5,BigBasketProducts,validity,12,NA,NA,NA
GPT-3.5,BigBasketProducts,corrected,0,NA,NA,NA
GPT-3.5,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-3.5,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
GPT-3.5,BigBasketProducts,URIs,rdfs:comment,rdfs,comment,TRUE
GPT-3.5,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-3.5,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
GPT-3.5,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-3.5,BigBasketProducts,URIs,xsd:anyURI,xsd,anyURI,TRUE
GPT-3.5,BrazilianE-commerce,total,7,NA,NA,NA
GPT-3.5,BrazilianE-commerce,validity,7,NA,NA,NA
GPT-3.5,BrazilianE-commerce,corrected,0,NA,NA,NA
GPT-3.5,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-3.5,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
GPT-3.5,BrazilianE-commerce,URIs,xsd:integer,xsd,integer,TRUE
GPT-3.5,CustomerComplaint,total,10,NA,NA,NA
GPT-3.5,CustomerComplaint,validity,10,NA,NA,NA
GPT-3.5,CustomerComplaint,corrected,0,NA,NA,NA
GPT-3.5,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-3.5,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
GPT-3.5,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-3.5,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
GPT-3.5,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,CustomerComplaint,URIs,xsd:date,xsd,date,TRUE
GPT-3.5,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
GPT-3.5,eCommerce,total,10,NA,NA,NA
GPT-3.5,eCommerce,validity,10,NA,NA,NA
GPT-3.5,eCommerce,corrected,0,NA,NA,NA
GPT-3.5,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
GPT-3.5,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
GPT-3.5,eCommerce,URIs,owl:Class,owl,Class,TRUE
GPT-3.5,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
GPT-3.5,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
GPT-3.5,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
GPT-3.5,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
GPT-3.5,eCommerce,URIs,xsd:string,xsd,string,TRUE
GPT-3.5,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
GPT-3.5,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
GPT-4o,AirlinesCustomerSatisfaction,total,9,NA,NA,NA
GPT-4o,AirlinesCustomerSatisfaction,validity,9,NA,NA,NA
GPT-4o,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
