"metric","AmazonRating","BigBasketProducts","CustomerComplaint","eCommerce"
"ANOnto","0.0","0.0","0.0","0.8888888888888888"
"AROnto","0.0","0.0","0.0","0.0"
"CBOOnto","0.875","0.6666666666666666","0.9444444444444444","0.8888888888888888"
"CBOnto2","0.875","0.6666666666666666","0.9444444444444444","0.8888888888888888"
"CROnto","0.25","0.0","0.0","2.6666666666666665"
"DITOnto","2.0","2.0","2.0","2.0"
"INROnto","0.875","0.6666666666666666","0.9444444444444444","0.8888888888888888"
"LCOMOnto","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0"
"NOCOnto","7.0","2.0","17.0","8.0"
"NOMOnto","0.0","4.0","0.0","3.5555555555555554"
"POnto","0.0","0.0","0.0","0.0"
"PROnto","0.0","0.8571428571428571","0.0","0.8"
"RFCOnto","0.875","4.666666666666667","0.9444444444444444","4.444444444444445"
"RROnto","1.0","0.14285714285714285","1.0","0.2"
"TMOnto","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0"
