dataset,prefix,total,correct,validity_rate,incorrect
AirlinesCustomerSatisfaction,owl,3,3,100,0
AirlinesCustomerSatisfaction,rdf,3,3,100,0
AirlinesCustomerSatisfaction,rdfs,3,3,100,0
AirlinesCustomerSatisfaction,xsd,3,3,100,0
AmazonRating,owl,3,3,100,0
AmazonRating,rdf,3,3,100,0
AmazonRating,rdfs,3,3,100,0
AmazonRating,xsd,3,3,100,0
BigBasketProducts,owl,3,3,100,0
BigBasketProducts,rdf,3,3,100,0
BigBasketProducts,rdfs,3,3,100,0
BigBasketProducts,xsd,3,3,100,0
BrazilianE-commerce,owl,3,3,100,0
BrazilianE-commerce,rdf,3,3,100,0
BrazilianE-commerce,rdfs,3,3,100,0
BrazilianE-commerce,xsd,3,3,100,0
CustomerComplaint,owl,3,3,100,0
CustomerComplaint,rdf,3,3,100,0
CustomerComplaint,rdfs,3,3,100,0
CustomerComplaint,xsd,3,3,100,0
eCommerce,owl,3,3,100,0
eCommerce,rdf,3,3,100,0
eCommerce,rdfs,3,3,100,0
eCommerce,xsd,3,3,100,0
