method,quantization,dataset,feature,value,correct
llama-2-13b,all,AirlinesCustomerSatisfaction,total,4,NA
llama-2-13b,all,AirlinesCustomerSatisfaction,validity,4,NA
llama-2-13b,all,AirlinesCustomerSatisfaction,corrected,0,NA
llama-2-13b,all,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-2-13b,all,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-2-13b,all,AmazonRating,total,4,NA
llama-2-13b,all,AmazonRating,validity,4,NA
llama-2-13b,all,AmazonRating,corrected,0,NA
llama-2-13b,all,AmazonRating,prefixes,rdf,TRUE
llama-2-13b,all,AmazonRating,prefixes,rdfs,TRUE
llama-2-13b,all,AmazonRating,prefixes,owl,TRUE
llama-2-13b,all,AmazonRating,prefixes,xsd,TRUE
llama-2-13b,all,BigBasketProducts,total,4,NA
llama-2-13b,all,BigBasketProducts,validity,4,NA
llama-2-13b,all,BigBasketProducts,corrected,0,NA
llama-2-13b,all,BigBasketProducts,prefixes,rdf,TRUE
llama-2-13b,all,BigBasketProducts,prefixes,rdfs,TRUE
llama-2-13b,all,BigBasketProducts,prefixes,owl,TRUE
llama-2-13b,all,BigBasketProducts,prefixes,xsd,TRUE
llama-2-13b,all,BrazilianE-commerce,total,4,NA
llama-2-13b,all,BrazilianE-commerce,validity,4,NA
llama-2-13b,all,BrazilianE-commerce,corrected,0,NA
llama-2-13b,all,BrazilianE-commerce,prefixes,rdf,TRUE
llama-2-13b,all,BrazilianE-commerce,prefixes,rdfs,TRUE
llama-2-13b,all,BrazilianE-commerce,prefixes,owl,TRUE
llama-2-13b,all,BrazilianE-commerce,prefixes,xsd,TRUE
llama-2-13b,all,CustomerComplaint,total,4,NA
llama-2-13b,all,CustomerComplaint,validity,4,NA
llama-2-13b,all,CustomerComplaint,corrected,0,NA
llama-2-13b,all,CustomerComplaint,prefixes,rdf,TRUE
llama-2-13b,all,CustomerComplaint,prefixes,rdfs,TRUE
llama-2-13b,all,CustomerComplaint,prefixes,owl,TRUE
llama-2-13b,all,CustomerComplaint,prefixes,xsd,TRUE
llama-2-13b,all,eCommerce,total,4,NA
llama-2-13b,all,eCommerce,validity,4,NA
llama-2-13b,all,eCommerce,corrected,0,NA
llama-2-13b,all,eCommerce,prefixes,rdf,TRUE
llama-2-13b,all,eCommerce,prefixes,rdfs,TRUE
llama-2-13b,all,eCommerce,prefixes,owl,TRUE
llama-2-13b,all,eCommerce,prefixes,xsd,TRUE
llama-2-7b,4bits,AirlinesCustomerSatisfaction,total,4,NA
llama-2-7b,4bits,AirlinesCustomerSatisfaction,validity,4,NA
llama-2-7b,4bits,AirlinesCustomerSatisfaction,corrected,0,NA
llama-2-7b,4bits,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-2-7b,4bits,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-2-7b,4bits,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-2-7b,4bits,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,total,4,NA
llama-2-7b,8bits,AirlinesCustomerSatisfaction,validity,4,NA
llama-2-7b,8bits,AirlinesCustomerSatisfaction,corrected,0,NA
llama-2-7b,8bits,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-2-7b,8bits,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,total,4,NA
llama-2-7b,all,AirlinesCustomerSatisfaction,validity,4,NA
llama-2-7b,all,AirlinesCustomerSatisfaction,corrected,0,NA
llama-2-7b,all,AirlinesCustomerSatisfaction,prefixes,rdf,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,prefixes,rdfs,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,prefixes,owl,TRUE
llama-2-7b,all,AirlinesCustomerSatisfaction,prefixes,xsd,TRUE
llama-2-7b,4bits,AmazonRating,total,4,NA
llama-2-7b,4bits,AmazonRating,validity,4,NA
llama-2-7b,4bits,AmazonRating,corrected,0,NA
llama-2-7b,4bits,AmazonRating,prefixes,rdf,TRUE
llama-2-7b,4bits,AmazonRating,prefixes,rdfs,TRUE
llama-2-7b,4bits,AmazonRating,prefixes,owl,TRUE
llama-2-7b,4bits,AmazonRating,prefixes,xsd,TRUE
llama-2-7b,8bits,AmazonRating,total,4,NA
llama-2-7b,8bits,AmazonRating,validity,4,NA
llama-2-7b,8bits,AmazonRating,corrected,0,NA
llama-2-7b,8bits,AmazonRating,prefixes,rdf,TRUE
llama-2-7b,8bits,AmazonRating,prefixes,rdfs,TRUE
llama-2-7b,8bits,AmazonRating,prefixes,owl,TRUE
llama-2-7b,8bits,AmazonRating,prefixes,xsd,TRUE
llama-2-7b,all,AmazonRating,total,4,NA
llama-2-7b,all,AmazonRating,validity,4,NA
llama-2-7b,all,AmazonRating,corrected,0,NA
llama-2-7b,all,AmazonRating,prefixes,rdf,TRUE
llama-2-7b,all,AmazonRating,prefixes,rdfs,TRUE
llama-2-7b,all,AmazonRating,prefixes,owl,TRUE
llama-2-7b,all,AmazonRating,prefixes,xsd,TRUE
llama-2-7b,4bits,BigBasketProducts,total,4,NA
llama-2-7b,4bits,BigBasketProducts,validity,4,NA
llama-2-7b,4bits,BigBasketProducts,corrected,0,NA
llama-2-7b,4bits,BigBasketProducts,prefixes,rdf,TRUE
llama-2-7b,4bits,BigBasketProducts,prefixes,rdfs,TRUE
llama-2-7b,4bits,BigBasketProducts,prefixes,owl,TRUE
llama-2-7b,4bits,BigBasketProducts,prefixes,xsd,TRUE
llama-2-7b,8bits,BigBasketProducts,total,4,NA
llama-2-7b,8bits,BigBasketProducts,validity,4,NA
