method_quant,method,quantization,dataset,total,validity,validity_rate,corrected,corrected_rate
llama-2-13b all,llama-2-13b,all,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-2-13b all,llama-2-13b,all,AmazonRating,4,4,100,0,0
llama-2-13b all,llama-2-13b,all,BigBasketProducts,4,4,100,0,0
llama-2-13b all,llama-2-13b,all,BrazilianE-commerce,4,4,100,0,0
llama-2-13b all,llama-2-13b,all,CustomerComplaint,4,4,100,0,0
llama-2-13b all,llama-2-13b,all,eCommerce,4,4,100,0,0
llama-2-7b 4bits,llama-2-7b,4bits,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-2-7b 8bits,llama-2-7b,8bits,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-2-7b all,llama-2-7b,all,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-2-7b 4bits,llama-2-7b,4bits,AmazonRating,4,4,100,0,0
llama-2-7b 8bits,llama-2-7b,8bits,AmazonRating,4,4,100,0,0
llama-2-7b all,llama-2-7b,all,AmazonRating,4,4,100,0,0
llama-2-7b 4bits,llama-2-7b,4bits,BigBasketProducts,4,4,100,0,0
llama-2-7b 8bits,llama-2-7b,8bits,BigBasketProducts,4,4,100,0,0
llama-2-7b all,llama-2-7b,all,BigBasketProducts,4,4,100,0,0
llama-2-7b 4bits,llama-2-7b,4bits,BrazilianE-commerce,4,4,100,0,0
llama-2-7b 8bits,llama-2-7b,8bits,BrazilianE-commerce,4,4,100,0,0
llama-2-7b all,llama-2-7b,all,BrazilianE-commerce,4,4,100,0,0
llama-2-7b 4bits,llama-2-7b,4bits,CustomerComplaint,4,4,100,0,0
llama-2-7b 8bits,llama-2-7b,8bits,CustomerComplaint,4,4,100,0,0
llama-2-7b all,llama-2-7b,all,CustomerComplaint,4,4,100,0,0
llama-2-7b 4bits,llama-2-7b,4bits,eCommerce,4,4,100,0,0
llama-2-7b 8bits,llama-2-7b,8bits,eCommerce,4,4,100,0,0
llama-2-7b all,llama-2-7b,all,eCommerce,4,4,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-3-8b all,llama-3-8b,all,AirlinesCustomerSatisfaction,4,4,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,AmazonRating,4,4,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,AmazonRating,4,4,100,0,0
llama-3-8b all,llama-3-8b,all,AmazonRating,4,4,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,BigBasketProducts,4,4,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,BigBasketProducts,4,4,100,0,0
llama-3-8b all,llama-3-8b,all,BigBasketProducts,4,4,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,BrazilianE-commerce,4,4,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,BrazilianE-commerce,4,4,100,0,0
llama-3-8b all,llama-3-8b,all,BrazilianE-commerce,4,4,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,CustomerComplaint,4,4,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,CustomerComplaint,4,4,100,0,0
llama-3-8b all,llama-3-8b,all,CustomerComplaint,4,4,100,0,0
llama-3-8b 4bits,llama-3-8b,4bits,eCommerce,4,4,100,0,0
llama-3-8b 8bits,llama-3-8b,8bits,eCommerce,4,4,100,0,0
llama-3-8b all,llama-3-8b,all,eCommerce,4,4,100,0,0
