NUMBER,TYPE,BigBasketProducts GPT-3.5,BigBasketProducts GPT-4,BigBasketProducts GPT-4o,BigBasketProducts llama-2-13b,BigBasketProducts llama-2-13b-4bits,BigBasketProducts llama-2-13b-8bits,BigBasketProducts llama-3-70b-4bits,BigBasketProducts llama-3-8b,BigBasketProducts llama-3-8b-4bits,BigBasketProducts llama-3-8b-8bits,BigBasketProducts mistral-7b,summary
P04,MINOR,NA,1,1,1,1,1,NA,NA,1,NA,NA,6
P08,MINOR,1,1,1,1,1,1,1,1,1,1,1,11
P10,IMPORTANT,1,1,1,1,1,1,1,1,1,1,1,11
P11,IMPORTANT,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3
P13,MINOR,1,1,1,1,NA,1,1,1,NA,1,1,9
P19,CRITICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2
P22,MINOR,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,4
P34,IMPORTANT,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
P35,IMPORTANT,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
P38,IMPORTANT,1,1,1,NA,1,NA,1,1,1,1,1,9
,TOTAL,5,6,6,5,5,5,4,4,6,5,6,57
,CRITICAL,0,0,0,0,0,0,0,0,0,1,1,2
,IMPORTANT,2,2,3,2,3,1,2,2,4,2,2,25
,MINOR,3,4,3,3,2,4,2,2,2,2,3,30
