NUMBER,TYPE,eCommerce GPT-3.5,eCommerce GPT-4,eCommerce GPT-4o,eCommerce llama-2-13b,eCommerce llama-2-13b-4bits,eCommerce llama-2-13b-8bits,eCommerce llama-3-70b-4bits,eCommerce llama-3-8b-4bits,eCommerce llama-3-8b-8bits,eCommerce mistral-7b,eCommerce mixtral-8-7b,summary
P04,MINOR,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2
P08,MINOR,1,1,1,1,1,1,1,1,1,1,1,11
P10,IMPORTANT,1,1,1,1,1,1,1,1,1,1,1,11
P11,IMPORTANT,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
P13,MINOR,NA,1,1,NA,1,NA,1,1,1,1,1,8
P19,CRITICAL,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,3
P22,MINOR,1,1,NA,1,1,NA,NA,1,1,1,NA,7
P31,CRITICAL,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
P38,IMPORTANT,1,1,1,1,1,1,1,1,1,1,1,11
,TOTAL,4,7,4,5,6,4,5,5,5,6,4,55
,CRITICAL,0,1,0,0,1,0,1,0,0,1,0,4
,IMPORTANT,2,2,2,3,2,2,2,2,2,2,2,23
,MINOR,2,4,2,2,3,2,2,3,3,3,2,28
