NUMBER,TYPE,AmazonRating GPT-3.5,AmazonRating GPT-4,AmazonRating GPT-4o,AmazonRating llama-2-13b,AmazonRating llama-2-13b-8bits,AmazonRating llama-3-70b-4bits,AmazonRating llama-3-8b,AmazonRating llama-3-8b-8bits,AmazonRating mixtral-8-7b,summary
P04,MINOR,NA,NA,1,1,1,NA,1,NA,1,5
P06,CRITICAL,NA,NA,NA,NA,1,NA,NA,NA,NA,1
P07,MINOR,NA,1,NA,NA,NA,NA,NA,NA,NA,1
P08,MINOR,1,1,1,1,1,1,1,1,1,9
P10,IMPORTANT,1,1,1,1,1,1,1,1,1,9
P11,IMPORTANT,NA,NA,1,NA,NA,NA,NA,NA,NA,1
P12,IMPORTANT,NA,NA,NA,NA,1,NA,NA,NA,NA,1
P13,MINOR,1,1,1,NA,1,1,1,1,1,8
P19,CRITICAL,NA,NA,NA,NA,NA,NA,1,NA,NA,1
P22,MINOR,1,NA,1,1,1,1,NA,1,NA,6
P38,IMPORTANT,1,1,1,NA,NA,1,1,NA,1,6
,TOTAL,5,5,7,4,7,5,6,4,5,48
,CRITICAL,0,0,0,0,1,0,1,0,0,2
,IMPORTANT,2,2,3,1,2,2,2,1,2,17
,MINOR,3,3,4,3,4,3,3,3,3,29
