method_quant,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
llama-2-13b 4bits,owl,18,11,61.11,7,38.89
llama-2-13b 8bits,owl,37,20,54.05,17,45.95
llama-2-13b all,owl,26,15,57.69,11,42.31
llama-2-70b all,owl,7,2,28.57,5,71.43
llama-2-13b 4bits,rdf,6,4,66.67,2,33.33
llama-2-13b 8bits,rdf,8,6,75,2,25
llama-2-13b all,rdf,4,4,100,0,0
llama-2-70b all,rdf,1,1,100,0,0
llama-2-13b 4bits,rdfs,5,5,100,0,0
llama-2-13b 8bits,rdfs,2,2,100,0,0
llama-2-13b all,rdfs,1,1,100,0,0
llama-2-13b 4bits,xsd,2,2,100,0,0
llama-2-13b 8bits,xsd,6,6,100,0,0
llama-2-70b all,xsd,2,2,100,0,0
