dataset,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
AirlinesCustomerSatisfaction,owl,5,5,100,0,0
AmazonRating,owl,12,12,100,0,0
BigBasketProducts,owl,4,4,100,0,0
BrazilianE-commerce,owl,6,5,83.33,1,16.67
CustomerComplaint,owl,6,5,83.33,1,16.67
eCommerce,owl,3,3,100,0,0
AirlinesCustomerSatisfaction,rdf,6,2,33.33,4,66.67
AmazonRating,rdf,5,3,60,2,40
BigBasketProducts,rdf,3,2,66.67,1,33.33
BrazilianE-commerce,rdf,3,2,66.67,1,33.33
CustomerComplaint,rdf,9,2,22.22,7,77.78
eCommerce,rdf,8,4,50,4,50
AirlinesCustomerSatisfaction,rdfs,2,2,100,0,0
AmazonRating,rdfs,9,6,66.67,3,33.33
BigBasketProducts,rdfs,6,5,83.33,1,16.67
BrazilianE-commerce,rdfs,8,8,100,0,0
CustomerComplaint,rdfs,3,3,100,0,0
eCommerce,rdfs,4,4,100,0,0
AirlinesCustomerSatisfaction,xsd,1,1,100,0,0
AmazonRating,xsd,2,2,100,0,0
BrazilianE-commerce,xsd,4,4,100,0,0
CustomerComplaint,xsd,4,4,100,0,0
eCommerce,xsd,3,3,100,0,0
