dataset,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
AirlinesCustomerSatisfaction,owl,17,9,52.94,8,47.06
AmazonRating,owl,10,6,60,4,40
BigBasketProducts,owl,29,13,44.83,16,55.17
BrazilianE-commerce,owl,13,7,53.85,6,46.15
CustomerComplaint,owl,10,6,60,4,40
eCommerce,owl,9,7,77.78,2,22.22
AirlinesCustomerSatisfaction,rdf,5,4,80,1,20
AmazonRating,rdf,4,2,50,2,50
BigBasketProducts,rdf,3,3,100,0,0
BrazilianE-commerce,rdf,2,2,100,0,0
CustomerComplaint,rdf,2,2,100,0,0
eCommerce,rdf,3,2,66.67,1,33.33
AmazonRating,rdfs,1,1,100,0,0
eCommerce,rdfs,7,7,100,0,0
AirlinesCustomerSatisfaction,xsd,4,4,100,0,0
AmazonRating,xsd,2,2,100,0,0
BigBasketProducts,xsd,1,1,100,0,0
CustomerComplaint,xsd,3,3,100,0,0
