method,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
llama-2-13b,owl,81,46,56.79,35,43.21
llama-2-70b,owl,7,2,28.57,5,71.43
llama-3-70b,owl,17,17,100,0,0
llama-3-8b,owl,43,36,83.72,7,16.28
mistral-7b,owl,15,14,93.33,1,6.67
mixtral-8-7b,owl,21,20,95.24,1,4.76
llama-2-13b,rdf,18,14,77.78,4,22.22
llama-2-70b,rdf,1,1,100,0,0
llama-3-70b,rdf,12,8,66.67,4,33.33
llama-3-8b,rdf,10,10,100,0,0
mistral-7b,rdf,27,9,33.33,18,66.67
mixtral-8-7b,rdf,7,6,85.71,1,14.29
llama-2-13b,rdfs,8,8,100,0,0
llama-3-70b,rdfs,17,17,100,0,0
llama-3-8b,rdfs,34,34,100,0,0
mistral-7b,rdfs,18,14,77.78,4,22.22
mixtral-8-7b,rdfs,14,14,100,0,0
llama-2-13b,xsd,8,8,100,0,0
llama-2-70b,xsd,2,2,100,0,0
llama-3-70b,xsd,11,11,100,0,0
llama-3-8b,xsd,24,22,91.67,2,8.33
mistral-7b,xsd,6,6,100,0,0
mixtral-8-7b,xsd,8,8,100,0,0
