method,dataset,total,validity,validity_rate,corrected,corrected_rate
llama-2-13b,AirlinesCustomerSatisfaction,16,12,75,4,25
llama-2-13b,AmazonRating,17,11,64.71,6,35.29
llama-2-13b,BigBasketProducts,33,17,51.52,16,48.48
llama-2-13b,BrazilianE-commerce,15,9,60,6,40
llama-2-13b,CustomerComplaint,15,11,73.33,4,26.67
llama-2-13b,eCommerce,19,16,84.21,3,15.79
llama-2-70b,AirlinesCustomerSatisfaction,10,5,50,5,50
llama-3-70b,AirlinesCustomerSatisfaction,9,9,100,0,0
llama-3-70b,AmazonRating,8,8,100,0,0
llama-3-70b,BigBasketProducts,9,9,100,0,0
llama-3-70b,BrazilianE-commerce,9,9,100,0,0
llama-3-70b,CustomerComplaint,11,11,100,0,0
llama-3-70b,eCommerce,11,7,63.64,4,36.36
llama-3-8b,AirlinesCustomerSatisfaction,8,8,100,0,0
llama-3-8b,AmazonRating,17,15,88.24,2,11.76
llama-3-8b,BigBasketProducts,26,20,76.92,6,23.08
llama-3-8b,BrazilianE-commerce,20,20,100,0,0
llama-3-8b,CustomerComplaint,23,22,95.65,1,4.35
llama-3-8b,eCommerce,17,17,100,0,0
mistral-7b,AirlinesCustomerSatisfaction,8,4,50,4,50
mistral-7b,AmazonRating,12,7,58.33,5,41.67
mistral-7b,BigBasketProducts,13,11,84.62,2,15.38
mistral-7b,BrazilianE-commerce,10,9,90,1,10
mistral-7b,CustomerComplaint,12,5,41.67,7,58.33
mistral-7b,eCommerce,11,7,63.64,4,36.36
mixtral-8-7b,AirlinesCustomerSatisfaction,6,6,100,0,0
mixtral-8-7b,AmazonRating,16,16,100,0,0
mixtral-8-7b,BrazilianE-commerce,11,10,90.91,1,9.09
mixtral-8-7b,CustomerComplaint,10,9,90,1,10
mixtral-8-7b,eCommerce,7,7,100,0,0
