dataset,prefix,count_total,count_valid,rate_valid,count_invalid,rate_invalid
AirlinesCustomerSatisfaction,owl,29,21,72.41,8,27.59
AmazonRating,owl,29,25,86.21,4,13.79
BigBasketProducts,owl,50,28,56,22,44
BrazilianE-commerce,owl,30,23,76.67,7,23.33
CustomerComplaint,owl,27,21,77.78,6,22.22
eCommerce,owl,19,17,89.47,2,10.53
AirlinesCustomerSatisfaction,rdf,12,7,58.33,5,41.67
AmazonRating,rdf,13,9,69.23,4,30.77
BigBasketProducts,rdf,9,8,88.89,1,11.11
BrazilianE-commerce,rdf,8,7,87.5,1,12.5
CustomerComplaint,rdf,14,7,50,7,50
eCommerce,rdf,19,10,52.63,9,47.37
AirlinesCustomerSatisfaction,rdfs,8,8,100,0,0
AmazonRating,rdfs,19,16,84.21,3,15.79
BigBasketProducts,rdfs,13,12,92.31,1,7.69
BrazilianE-commerce,rdfs,17,17,100,0,0
CustomerComplaint,rdfs,14,14,100,0,0
eCommerce,rdfs,20,20,100,0,0
AirlinesCustomerSatisfaction,xsd,8,8,100,0,0
AmazonRating,xsd,9,7,77.78,2,22.22
BigBasketProducts,xsd,9,9,100,0,0
BrazilianE-commerce,xsd,10,10,100,0,0
CustomerComplaint,xsd,16,16,100,0,0
eCommerce,xsd,7,7,100,0,0
