"metric","GPT-3.5_base-llm","GPT-3.5_FT-llm","GPT-4o_base-llm","GPT-4o_FT-llm","GPT-4o-mini_FT-llm","llama-2-13b_FT-llm","llama-2-70b-4bits_base-llm","llama-2-7b_FT-llm","llama-2-7b-4bits_FT-llm","llama-2-7b-8bits_FT-llm","llama-3-70b-4bits_base-llm","llama-3-8b_FT-llm","llama-3-8b-4bits_FT-llm","llama-3-8b-8bits_base-llm","llama-3-8b-8bits_FT-llm","mistral-7b_base-llm","mixtral-8-7b_base-llm"
"ANOnto","0.0","0.75","0.0","0.0","0.8","0.8","0.0","0.8","0.9655172413793104","0.8333333333333334","0.0","0.875","0.9","0.0","0.8","0.9545454545454546","0.0"
"AROnto","6.0","1.25","0.696969696969697","1.4285714285714286","5.2","5.2","3.5","1.6","0.0","3.8333333333333335","2.1333333333333333","3.125","1.6","12.0","4.6","1.0909090909090908","3.6666666666666665"
"CBOOnto","0.75","0.75","0.9696969696969697","0.8571428571428571","0.8","0.8","0.75","0.8","0.9655172413793104","0.8333333333333334","1.0","0.875","0.9","0.5","0.8","0.9545454545454546","0.8333333333333334"
"CBOnto2","0.75","0.75","0.9696969696969697","0.8571428571428571","0.8","0.8","0.75","0.8","0.9655172413793104","0.8333333333333334","1.0","0.875","0.9","0.5","0.8","0.9545454545454546","0.8333333333333334"
"CROnto","0.0","1.75","0.0","0.0","0.0","0.0","4.5","0.0","0.0","0.0","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","3.0","3.0"
"INROnto","0.75","0.75","0.9696969696969697","0.8571428571428571","0.8","0.8","0.75","0.8","0.9655172413793104","0.8333333333333334","1.0","0.875","0.9","0.5","0.8","0.9545454545454546","0.8333333333333334"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.5833333333333333","1.0","1.0","1.0","1.0","1.05","1.5"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0909090909090908","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","3.0","3.0","32.0","6.0","4.0","4.0","3.0","4.0","28.0","5.0","3.75","7.0","9.0","1.0","4.0","10.5","2.5"
"NOMOnto","12.0","3.75","2.090909090909091","8.285714285714286","15.6","15.6","10.5","4.8","0.0","11.5","4.8","9.625","5.1","48.0","14.4","3.272727272727273","11.0"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4666666666666667","0.0","0.0","0.0","0.0","0.045454545454545456","0.0"
"PROnto","0.9411764705882353","0.8333333333333334","0.6831683168316832","0.90625","0.9512195121951219","0.9512195121951219","0.9333333333333333","0.8571428571428571","0.0","0.9324324324324325","0.8275862068965517","0.9166666666666666","0.85","0.9896907216494846","0.9473684210526315","0.7741935483870968","0.9295774647887324"
"RFCOnto","12.75","4.5","3.0606060606060606","9.142857142857142","16.4","16.4","11.25","5.6","0.9655172413793104","12.333333333333334","5.8","10.5","6.0","48.5","15.2","4.2272727272727275","11.833333333333334"
"RROnto","0.058823529411764705","0.16666666666666666","0.31683168316831684","0.09375","0.04878048780487805","0.04878048780487805","0.06666666666666667","0.14285714285714285","1.0","0.06756756756756757","0.1724137931034483","0.08333333333333333","0.15","0.010309278350515464","0.05263157894736842","0.22580645161290322","0.07042253521126761"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.7272727272727273","1.0","1.0","1.0","1.0","1.05","1.5"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0909090909090908","1.0","1.0","1.0","1.0","1.0","1.0"
