"metric","GPT-3.5_base-llm","GPT-3.5_FT-llm","GPT-4_base-llm","GPT-4o_base-llm","GPT-4o_FT-llm","GPT-4o-mini_FT-llm","llama-2-13b_base-llm","llama-2-13b_FT-llm","llama-2-13b-4bits_base-llm","llama-2-7b_FT-llm","llama-2-7b-4bits_FT-llm","llama-2-7b-8bits_FT-llm","llama-3-8b_FT-llm","llama-3-8b-4bits_base-llm","llama-3-8b-4bits_FT-llm","llama-3-8b-8bits_base-llm","llama-3-8b-8bits_FT-llm"
"ANOnto","0.0","0.8888888888888888","0.0","0.0","0.8","0.8","0.8888888888888888","0.8","1.2","0.8","0.8","0.5555555555555556","0.75","0.0","0.8","0.0","0.8"
"AROnto","7.111111111111111","0.8888888888888888","1.0909090909090908","1.6666666666666667","1.8","2.2","0.0","2.2","0.6","1.6","1.6","3.0","2.0","2.909090909090909","2.0","2.909090909090909","1.6"
"CBOOnto","0.8888888888888888","0.8888888888888888","1.1363636363636365","0.8333333333333334","0.8","0.8","0.8888888888888888","0.8","0.9333333333333333","0.8","0.8","0.8888888888888888","0.75","0.9090909090909091","0.8","0.9090909090909091","0.8"
"CBOnto2","0.8888888888888888","0.8888888888888888","1.1363636363636365","0.8333333333333334","0.8","0.8","0.8888888888888888","0.8","0.9333333333333333","0.8","0.8","0.8888888888888888","0.75","0.9090909090909091","0.8","0.9090909090909091","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","2.6666666666666665","0.0","0.0","0.0","0.0","0.0","0.0","0.7272727272727273","0.0","0.0","0.0"
"DITOnto","2.0","2.0","4.0","2.0","2.0","2.0","2.0","2.0","4.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0"
"INROnto","0.8888888888888888","0.8888888888888888","1.1363636363636365","0.8333333333333334","0.8","0.8","0.8888888888888888","0.8","0.9333333333333333","0.8","0.8","0.8888888888888888","0.75","0.9090909090909091","0.8","0.9090909090909091","0.8"
"LCOMOnto","1.0","1.0","3.0","1.0","1.0","1.0","1.0","1.0","2.3333333333333335","1.0","1.0","1.0","1.0","1.1111111111111112","1.0","1.1111111111111112","1.0"
"NACOnto","1.0","1.0","1.25","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","8.0","8.0","2.5","5.0","4.0","4.0","8.0","4.0","4.666666666666667","4.0","4.0","8.0","3.0","5.0","4.0","5.0","4.0"
"NOMOnto","21.333333333333332","2.6666666666666665","1.6363636363636365","5.0","5.4","6.6","3.5555555555555554","6.6","3.0","4.8","4.8","9.0","6.0","5.090909090909091","6.0","5.090909090909091","4.8"
"POnto","0.0","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","0.0","0.18181818181818182","0.0","0.18181818181818182","0.0"
"PROnto","0.96","0.75","0.5901639344262295","0.8571428571428571","0.8709677419354839","0.8918918918918919","0.8","0.8918918918918919","0.7627118644067796","0.8571428571428571","0.8571428571428571","0.9101123595505618","0.8888888888888888","0.8484848484848485","0.8823529411764706","0.8484848484848485","0.8571428571428571"
"RFCOnto","22.22222222222222","3.5555555555555554","2.772727272727273","5.833333333333333","6.2","7.4","4.444444444444445","7.4","3.933333333333333","5.6","5.6","9.88888888888889","6.75","6.0","6.8","6.0","5.6"
"RROnto","0.04","0.25","0.4098360655737705","0.14285714285714285","0.12903225806451613","0.10810810810810811","0.2","0.10810810810810811","0.23728813559322035","0.14285714285714285","0.14285714285714285","0.0898876404494382","0.1111111111111111","0.15151515151515152","0.11764705882352941","0.15151515151515152","0.14285714285714285"
"TMOnto","0.0","0.0","0.047619047619047616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","4.5","1.0","1.0","1.0","1.0","1.0","2.3333333333333335","1.0","1.0","1.0","1.0","1.1111111111111112","1.0","1.1111111111111112","1.0"
"WMCOnto2","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
