"metric","GPT-3.5_base-llm","GPT-3.5_FT-llm","GPT-4_base-llm","GPT-4o_base-llm","GPT-4o_FT-llm","GPT-4o-mini_FT-llm","llama-2-13b_base-llm","llama-2-13b_FT-llm","llama-2-13b-4bits_base-llm","llama-2-7b_FT-llm","llama-2-7b-4bits_FT-llm","llama-2-7b-8bits_FT-llm","llama-3-8b_FT-llm","llama-3-8b-4bits_base-llm","llama-3-8b-4bits_FT-llm","llama-3-8b-8bits_base-llm","llama-3-8b-8bits_FT-llm"
"ANOnto","1.0","5.0","1.0","1.0","4.0","4.0","5.0","4.0","5.0","4.0","4.0","3.0","4.0","1.0","4.0","1.0","4.0"
"AROnto","5.0","5.0","5.0","5.0","5.0","5.0","1.0","5.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"CBOOnto","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"CBOnto2","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"CROnto","1.0","1.0","1.0","1.0","1.0","1.0","5.0","1.0","1.0","1.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0"
"DITOnto","5.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0","4.0","5.0","5.0","5.0","5.0","4.0","5.0","4.0","5.0"
"INROnto","5.0","5.0","5.0","5.0","4.0","4.0","5.0","4.0","5.0","4.0","4.0","5.0","4.0","5.0","4.0","5.0","4.0"
"LCOMOnto","5.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"NACOnto","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"NOCOnto","3.0","3.0","5.0","4.0","4.0","4.0","3.0","4.0","4.0","4.0","4.0","3.0","5.0","4.0","4.0","4.0","4.0"
"NOMOnto","1.0","4.0","5.0","3.0","3.0","2.0","4.0","2.0","4.0","3.0","3.0","1.0","3.0","3.0","3.0","3.0","3.0"
"POnto","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"PROnto","5.0","4.0","3.0","5.0","5.0","5.0","4.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"RFCOnto","1.0","4.0","5.0","4.0","3.0","3.0","4.0","3.0","4.0","4.0","4.0","2.0","3.0","4.0","3.0","4.0","4.0"
"RROnto","1.0","2.0","3.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"TMOnto","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"TMOnto2","5.0","5.0","3.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"WMCOnto","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
"WMCOnto2","5.0","5.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0"
