"metric","GPT-3.5_FT-llm","GPT-4_base-llm","GPT-4o_FT-llm","GPT-4o-mini_FT-llm","llama-2-13b_base-llm","llama-2-13b_FT-llm","llama-2-7b_FT-llm","llama-2-7b-4bits_FT-llm","llama-2-7b-8bits_FT-llm","llama-3-70b-4bits_base-llm","llama-3-8b_FT-llm","llama-3-8b-4bits_FT-llm","llama-3-8b-8bits_base-llm","llama-3-8b-8bits_FT-llm","mixtral-8-7b_base-llm"
"ANOnto","0.6666666666666666","0.0","0.75","0.75","0.0","0.8333333333333334","0.8","0.875","0.9166666666666666","0.75","0.8333333333333334","0.75","0.0","0.8571428571428571","0.0"
"AROnto","2.0","1.1666666666666667","1.5","1.0","0.0","2.1666666666666665","1.6","0.5","0.9166666666666666","2.5","1.1666666666666667","1.0","2.2857142857142856","1.4285714285714286","1.2"
"CBOOnto","0.6666666666666666","0.8333333333333334","0.75","0.75","0.875","0.8333333333333334","0.8","0.875","0.9166666666666666","0.75","0.8333333333333334","0.75","0.8571428571428571","0.8571428571428571","0.8"
"CBOnto2","0.6666666666666666","0.8333333333333334","0.75","0.75","0.875","0.8333333333333334","0.8","0.875","0.9166666666666666","0.75","0.8333333333333334","0.75","0.8571428571428571","0.8571428571428571","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0"
"INROnto","0.6666666666666666","0.8333333333333334","0.75","0.75","0.875","0.8333333333333334","0.8","0.875","0.9166666666666666","0.75","0.8333333333333334","0.75","0.8571428571428571","0.8571428571428571","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.2","1.2","1.6666666666666667"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","2.0","5.0","3.0","3.0","7.0","5.0","4.0","7.0","11.0","3.0","5.0","3.0","3.0","3.0","2.0"
"NOMOnto","6.0","3.5","4.5","3.0","0.0","6.5","4.8","1.5","2.75","6.5","3.5","3.0","3.4285714285714284","3.5714285714285716","3.6"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14285714285714285","0.14285714285714285","0.6"
"PROnto","0.9","0.8076923076923077","0.8571428571428571","0.8","0.0","0.8863636363636364","0.8571428571428571","0.631578947368421","0.75","0.896551724137931","0.8076923076923077","0.8","0.8","0.8064516129032258","0.8181818181818182"
"RFCOnto","6.666666666666667","4.333333333333333","5.25","3.75","0.875","7.333333333333333","5.6","2.375","3.6666666666666665","7.25","4.333333333333333","3.75","4.285714285714286","4.428571428571429","4.4"
"RROnto","0.1","0.19230769230769232","0.14285714285714285","0.2","1.0","0.11363636363636363","0.14285714285714285","0.3684210526315789","0.25","0.10344827586206896","0.19230769230769232","0.2","0.2","0.1935483870967742","0.18181818181818182"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.2","1.2","1.6666666666666667"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
