"NUMBER","TYPE","AirlinesCustomerSatisfaction GPT-4o","AirlinesCustomerSatisfaction llama-2-13b","AirlinesCustomerSatisfaction llama-3-8b-4bits","AirlinesCustomerSatisfaction llama-3-8b-8bits","AmazonRating GPT-4o","AmazonRating llama-2-13b","AmazonRating llama-3-8b-4bits","AmazonRating llama-3-8b-8bits","BigBasketProducts GPT-4o","BigBasketProducts llama-2-13b","BigBasketProducts llama-3-8b-4bits","BigBasketProducts llama-3-8b-8bits","BrazilianE-commerce GPT-4o","BrazilianE-commerce llama-2-13b","BrazilianE-commerce llama-3-8b-4bits","BrazilianE-commerce llama-3-8b-8bits","CustomerComplaint GPT-4o","CustomerComplaint llama-2-13b","CustomerComplaint llama-3-8b-4bits","CustomerComplaint llama-3-8b-8bits","CustomerComplaint llama-3-8b-wo","eCommerce GPT-4o","eCommerce llama-2-13b","eCommerce llama-3-8b-4bits","eCommerce llama-3-8b-8bits","summary"
"P01","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P02","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P03","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P04","MINOR","","1","","1","","","1","","1","","","","","1","","","","","","","","","","","",5
"P05","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P06","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P07","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P08","MINOR","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",25
"P09","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P10","IMPORTANT","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",25
"P11","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P12","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P13","MINOR","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",24
"P14","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P15","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P16","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P17","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P18","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P19","CRITICAL","","","","","","","","1","","1","","","","1","","","","","","","1","","","","",4
"P20","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P21","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P22","MINOR","","","","","","","","","1","","1","","","","","","","","1","","","","","","",3
"P23","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P24","IMPORTANT","","","","","","","","","","","1","","","","","","","","","","","","","","",1
"P25","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P26","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P27","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P28","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P29","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P30","IMPORTANT","","","","","","","","","","","","","","1","","1","","","","1","","","","","",3
"P31","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P32","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P33","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P34","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P35","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P36","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P37","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P38","IMPORTANT","","","","","","","","","1","","","","","","","","","","","","","","","","",1
"P39","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P40","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P41","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","",0
"","TOTAL","3","4","3","4","3","3","3","4","6","4","5","3","3","6","3","4","3","3","4","4","4","3","3","3","3",91
"","CRITICAL","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0",4
"","IMPORTANT","1","1","1","1","1","1","1","1","2","1","2","1","1","2","1","2","1","1","1","2","1","1","1","1","1",30
"","MINOR","2","3","2","3","2","2","2","2","4","2","3","2","2","3","2","2","2","2","3","2","2","2","2","2","2",57
