"metric","GPT-4o","llama-2-13b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.8","0.8","0.8","0.8"
"AROnto","2.2","2.2","2.0","1.6"
"CBOOnto","0.8","0.8","0.8","0.8"
"CBOnto2","0.8","0.8","0.8","0.8"
"CROnto","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0"
"INROnto","0.8","0.8","0.8","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0"
"NOCOnto","4.0","4.0","4.0","4.0"
"NOMOnto","6.6","6.6","6.0","4.8"
"POnto","0.0","0.0","0.0","0.0"
"PROnto","0.8918918918918919","0.8918918918918919","0.8823529411764706","0.8571428571428571"
"RFCOnto","7.4","7.4","6.8","5.6"
"RROnto","0.10810810810810811","0.10810810810810811","0.11764705882352941","0.14285714285714285"
"TMOnto","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0"
