"metric","GPT-3.5","GPT-4o","GPT-4o-mini","llama-2-13b","llama-2-7b","llama-2-7b-4bits","llama-2-7b-8bits","llama-3-8b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.75","0.0","0.8","0.8","0.8","0.9655172413793104","0.8333333333333334","0.875","0.9","0.8"
"AROnto","1.25","1.4285714285714286","5.2","5.2","1.6","0.0","3.8333333333333335","3.125","1.6","4.6"
"CBOOnto","0.75","0.8571428571428571","0.8","0.8","0.8","0.9655172413793104","0.8333333333333334","0.875","0.9","0.8"
"CBOnto2","0.75","0.8571428571428571","0.8","0.8","0.8","0.9655172413793104","0.8333333333333334","0.875","0.9","0.8"
"CROnto","1.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.75","0.8571428571428571","0.8","0.8","0.8","0.9655172413793104","0.8333333333333334","0.875","0.9","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","3.0","6.0","4.0","4.0","4.0","28.0","5.0","7.0","9.0","4.0"
"NOMOnto","3.75","8.285714285714286","15.6","15.6","4.8","0.0","11.5","9.625","5.1","14.4"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.8333333333333334","0.90625","0.9512195121951219","0.9512195121951219","0.8571428571428571","0.0","0.9324324324324325","0.9166666666666666","0.85","0.9473684210526315"
"RFCOnto","4.5","9.142857142857142","16.4","16.4","5.6","0.9655172413793104","12.333333333333334","10.5","6.0","15.2"
"RROnto","0.16666666666666666","0.09375","0.04878048780487805","0.04878048780487805","0.14285714285714285","1.0","0.06756756756756757","0.08333333333333333","0.15","0.05263157894736842"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
