"","metric","FT_llama-2-13b_BigBasketProducts"
"1","ANOnto","0.8333333333333334"
"2","AROnto","2.8333333333333335"
"3","CBOOnto","0.8333333333333334"
"4","CBOnto2","0.8333333333333334"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8333333333333334"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","5.0"
"11","NOMOnto","8.166666666666666"
"12","POnto","0.0"
"13","PROnto","0.9074074074074074"
"14","RFCOnto","9.0"
"15","RROnto","0.09259259259259259"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
