"metric","FT","RAG"
"ANOnto","0.8","0.6666666666666666"
"AROnto","3.0","2.0"
"CBOOnto","0.8","0.6666666666666666"
"CBOnto2","0.8","0.6666666666666666"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.8","0.6666666666666666"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","4.0","2.0"
"NOMOnto","9.0","6.0"
"POnto","0.0","0.0"
"PROnto","0.9183673469387755","0.9"
"RFCOnto","9.8","6.666666666666667"
"RROnto","0.08163265306122448","0.1"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
