"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8333333333333334"
"AROnto","0.0","2.8333333333333335"
"CBOOnto","0.6666666666666666","0.8333333333333334"
"CBOnto2","0.6666666666666666","0.8333333333333334"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.6666666666666666","0.8333333333333334"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","2.0","5.0"
"NOMOnto","4.0","8.166666666666666"
"POnto","0.0","0.0"
"PROnto","0.8571428571428571","0.9074074074074074"
"RFCOnto","4.666666666666667","9.0"
"RROnto","0.14285714285714285","0.09259259259259259"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
