"NUMBER","TYPE","AirlinesCustomerSatisfaction","merged"
"P01","CRITICAL","",""
"P02","MINOR","",""
"P03","CRITICAL","",""
"P04","MINOR","1","1"
"P05","CRITICAL","",""
"P06","CRITICAL","",""
"P07","MINOR","1","1"
"P08","MINOR","1","1"
"P09","MINOR","",""
"P10","IMPORTANT","1","1"
"P11","IMPORTANT","",""
"P12","IMPORTANT","",""
"P13","MINOR","1","1"
"P14","CRITICAL","",""
"P15","CRITICAL","",""
"P16","CRITICAL","",""
"P17","IMPORTANT","",""
"P18","IMPORTANT","",""
"P19","CRITICAL","",""
"P20","MINOR","",""
"P21","MINOR","",""
"P22","MINOR","1","1"
"P23","IMPORTANT","",""
"P24","IMPORTANT","",""
"P25","IMPORTANT","",""
"P26","IMPORTANT","",""
"P27","CRITICAL","",""
"P28","CRITICAL","",""
"P29","CRITICAL","",""
"P30","IMPORTANT","",""
"P31","CRITICAL","",""
"P32","MINOR","",""
"P33","MINOR","",""
"P34","IMPORTANT","",""
"P35","IMPORTANT","1","1"
"P36","MINOR","",""
"P37","CRITICAL","",""
"P38","IMPORTANT","1","1"
"P39","CRITICAL","1","1"
"P40","CRITICAL","",""
"P41","IMPORTANT","",""
"","TOTAL","9","9"
"","CRITICAL","1","1"
"","IMPORTANT","3","3"
"","MINOR","5","5"
