"","metric","base-llm_GPT-4"
"1","ANOnto","0.0"
"2","AROnto","3.090909090909091"
"3","CBOOnto","1.1818181818181819"
"4","CBOnto2","1.1818181818181819"
"5","CROnto","0.0"
"6","DITOnto","5.0"
"7","INROnto","1.1818181818181819"
"8","LCOMOnto","2.2857142857142856"
"9","NACOnto","1.5"
"10","NOCOnto","1.8571428571428572"
"11","NOMOnto","2.5454545454545454"
"12","POnto","0.6363636363636364"
"13","PROnto","0.6829268292682927"
"14","RFCOnto","3.727272727272727"
"15","RROnto","0.3170731707317073"
"16","TMOnto","0.3"
"17","TMOnto2","2.0"
"18","WMCOnto","4.0"
"19","WMCOnto2","1.75"
