"metric","GPT-3.5","GPT-4o","llama-2-70b-4bits","llama-3-70b-4bits","llama-3-8b-8bits","mistral-7b","mixtral-8-7b"
"ANOnto","0.0","0.0","0.0","0.0","0.0","0.9545454545454546","0.0"
"AROnto","6.0","0.696969696969697","3.5","2.1333333333333333","12.0","1.0909090909090908","3.6666666666666665"
"CBOOnto","0.75","0.9696969696969697","0.75","1.0","0.5","0.9545454545454546","0.8333333333333334"
"CBOnto2","0.75","0.9696969696969697","0.75","1.0","0.5","0.9545454545454546","0.8333333333333334"
"CROnto","0.0","0.0","4.5","0.06666666666666667","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","3.0","2.0","3.0","3.0"
"INROnto","0.75","0.9696969696969697","0.75","1.0","0.5","0.9545454545454546","0.8333333333333334"
"LCOMOnto","1.0","1.0","1.0","1.5833333333333333","1.0","1.05","1.5"
"NACOnto","1.0","1.0","1.0","1.0909090909090908","1.0","1.0","1.0"
"NOCOnto","3.0","32.0","3.0","3.75","1.0","10.5","2.5"
"NOMOnto","12.0","2.090909090909091","10.5","4.8","48.0","3.272727272727273","11.0"
"POnto","0.0","0.0","0.0","0.4666666666666667","0.0","0.045454545454545456","0.0"
"PROnto","0.9411764705882353","0.6831683168316832","0.9333333333333333","0.8275862068965517","0.9896907216494846","0.7741935483870968","0.9295774647887324"
"RFCOnto","12.75","3.0606060606060606","11.25","5.8","48.5","4.2272727272727275","11.833333333333334"
"RROnto","0.058823529411764705","0.31683168316831684","0.06666666666666667","0.1724137931034483","0.010309278350515464","0.22580645161290322","0.07042253521126761"
"TMOnto","0.0","0.0","0.0","0.07142857142857142","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","2.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.7272727272727273","1.0","1.05","1.5"
"WMCOnto2","1.0","1.0","1.0","1.0909090909090908","1.0","1.0","1.0"
