NUMBER,TYPE,BrazilianE-commerce GPT-3.5,BrazilianE-commerce GPT-4o,BrazilianE-commerce GPT-4o-mini,BrazilianE-commerce llama-2-13b,BrazilianE-commerce llama-2-7b,BrazilianE-commerce llama-2-7b-4bits,BrazilianE-commerce llama-2-7b-8bits,BrazilianE-commerce llama-3-8b,BrazilianE-commerce llama-3-8b-4bits,BrazilianE-commerce llama-3-8b-8bits,summary
P04,MINOR,NA,NA,NA,1,NA,1,1,NA,NA,NA,3
P08,MINOR,1,1,1,1,1,1,1,1,1,1,10
P10,IMPORTANT,NA,1,1,1,1,1,1,1,1,1,9
P13,MINOR,NA,1,1,1,1,NA,NA,1,1,1,7
P19,CRITICAL,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
P30,IMPORTANT,NA,NA,NA,1,NA,NA,1,NA,NA,1,3
P38,IMPORTANT,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
,TOTAL,2,3,3,6,3,3,4,3,3,4,34
,CRITICAL,0,0,0,1,0,0,0,0,0,0,1
,IMPORTANT,1,1,1,2,1,1,2,1,1,2,13
,MINOR,1,2,2,3,2,2,2,2,2,2,20
