NUMBER,TYPE,AirlinesCustomerSatisfaction llama-2-7b-4bits,AmazonRating llama-2-7b-4bits,BigBasketProducts llama-2-7b-4bits,BrazilianE-commerce llama-2-7b-4bits,CustomerComplaint llama-2-7b-4bits,eCommerce llama-2-7b-4bits,summary
P04,MINOR,1,1,1,1,NA,NA,4
P07,MINOR,1,NA,NA,NA,NA,NA,1
P08,MINOR,1,1,1,1,1,1,6
P10,IMPORTANT,1,1,1,1,1,1,6
P13,MINOR,NA,1,NA,NA,1,1,3
P22,MINOR,NA,NA,1,NA,NA,NA,1
P38,IMPORTANT,1,1,1,NA,NA,NA,3
,TOTAL,5,5,5,3,3,3,24
,CRITICAL,0,0,0,0,0,0,0
,IMPORTANT,2,2,2,1,1,1,9
,MINOR,3,3,3,2,2,2,15
