"NUMBER","TYPE","AirlinesCustomerSatisfaction GPT-3.5","AirlinesCustomerSatisfaction GPT-4o","AirlinesCustomerSatisfaction GPT-4o-mini","AirlinesCustomerSatisfaction llama-2-13b","AirlinesCustomerSatisfaction llama-2-7b","AirlinesCustomerSatisfaction llama-2-7b-4bits","AirlinesCustomerSatisfaction llama-2-7b-8bits","AirlinesCustomerSatisfaction llama-3-8b","AirlinesCustomerSatisfaction llama-3-8b-4bits","AirlinesCustomerSatisfaction llama-3-8b-8bits","AmazonRating GPT-3.5","AmazonRating GPT-4o","AmazonRating GPT-4o-mini","AmazonRating llama-2-13b","AmazonRating llama-2-7b","AmazonRating llama-2-7b-4bits","AmazonRating llama-2-7b-8bits","AmazonRating llama-3-8b","AmazonRating llama-3-8b-4bits","AmazonRating llama-3-8b-8bits","BigBasketProducts GPT-3.5","BigBasketProducts GPT-4o","BigBasketProducts GPT-4o-mini","BigBasketProducts llama-2-13b","BigBasketProducts llama-2-7b","BigBasketProducts llama-2-7b-4bits","BigBasketProducts llama-2-7b-8bits","BigBasketProducts llama-3-8b","BigBasketProducts llama-3-8b-4bits","BigBasketProducts llama-3-8b-8bits","BrazilianE-commerce GPT-3.5","BrazilianE-commerce GPT-4o","BrazilianE-commerce GPT-4o-mini","BrazilianE-commerce llama-2-13b","BrazilianE-commerce llama-2-7b","BrazilianE-commerce llama-2-7b-4bits","BrazilianE-commerce llama-2-7b-8bits","BrazilianE-commerce llama-3-8b","BrazilianE-commerce llama-3-8b-4bits","BrazilianE-commerce llama-3-8b-8bits","CustomerComplaint GPT-3.5","CustomerComplaint GPT-4o","CustomerComplaint GPT-4o-mini","CustomerComplaint llama-2-13b","CustomerComplaint llama-2-7b","CustomerComplaint llama-2-7b-4bits","CustomerComplaint llama-2-7b-8bits","CustomerComplaint llama-3-8b","CustomerComplaint llama-3-8b-4bits","CustomerComplaint llama-3-8b-8bits","eCommerce GPT-3.5","eCommerce GPT-4o","eCommerce GPT-4o-mini","eCommerce llama-2-13b","eCommerce llama-2-7b","eCommerce llama-2-7b-4bits","eCommerce llama-2-7b-8bits","eCommerce llama-3-8b","eCommerce llama-3-8b-4bits","eCommerce llama-3-8b-8bits","summary"
"P01","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P02","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P03","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P04","MINOR","","","","1","","1","1","","","1","","","","","","1","1","","1","","","","1","","","1","","1","","","","","","1","","1","1","","","","","","","","","","","","","1","","","","","","","1","","","",15
"P05","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P06","CRITICAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P07","MINOR","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
"P08","MINOR","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",59
"P09","MINOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
"P10","IMPORTANT","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",59
"P11","IMPORTANT","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",2
"P12","IMPORTANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0
