LLM_model,Error_type,Number_incidences,Rate
Llama-2-13b,Incorrect serialization,5,83.33
Llama-2-13b,Uncommented text,5,83.33
Llama-2-13b,Wrong URIs,4,66.67
Llama-2-13b,Incorrect format,1,16.67
Llama-2-13b-4bits,Incorrect format,4,66.67
Llama-2-13b-4bits,Wrong URIs,4,66.67
Llama-2-13b-4bits,Incorrect serialization,3,50
Llama-2-13b-4bits,Uncommented text,2,33.33
Llama-2-13b-8bits,Uncommented text,6,100
Llama-2-13b-8bits,Wrong URIs,6,100
Llama-2-13b-8bits,Incorrect serialization,3,50
Llama-2-13b-8bits,Incorrect format,1,16.67
Llama-2-70b-4bits,Incorrect format,5,83.33
Llama-2-70b-4bits,Uncommented text,5,83.33
Llama-2-70b-4bits,Incorrect serialization,1,16.67
Llama-2-70b-4bits,Wrong URIs,1,16.67
Llama-2-7b-8bits,Incorrect format,6,100
Llama-2-7b-8bits,Uncommented text,5,83.33
