"metric","GPT-4","llama-2-13b","llama-3-70b-4bits","llama-3-8b-8bits","mixtral-8-7b"
"ANOnto","0.0","0.0","0.75","0.0","0.0"
"AROnto","1.1666666666666667","0.0","2.5","2.2857142857142856","1.2"
"CBOOnto","0.8333333333333334","0.875","0.75","0.8571428571428571","0.8"
"CBOnto2","0.8333333333333334","0.875","0.75","0.8571428571428571","0.8"
"CROnto","0.0","0.25","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","3.0","3.0"
"INROnto","0.8333333333333334","0.875","0.75","0.8571428571428571","0.8"
"LCOMOnto","1.0","1.0","1.0","1.2","1.6666666666666667"
"NACOnto","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","5.0","7.0","3.0","3.0","2.0"
"NOMOnto","3.5","0.0","6.5","3.4285714285714284","3.6"
"POnto","0.0","0.0","0.0","0.14285714285714285","0.6"
"PROnto","0.8076923076923077","0.0","0.896551724137931","0.8","0.8181818181818182"
"RFCOnto","4.333333333333333","0.875","7.25","4.285714285714286","4.4"
"RROnto","0.19230769230769232","1.0","0.10344827586206896","0.2","0.18181818181818182"
"TMOnto","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.2","1.6666666666666667"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0"
