"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.8","0.75","0.75","0.6666666666666666","0.875","0.8"
"AROnto","5.2","1.5","2.5","2.0","2.25","2.0"
"CBOOnto","0.8","0.75","0.75","0.6666666666666666","0.875","0.8"
"CBOnto2","0.8","0.75","0.75","0.6666666666666666","0.875","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.8","0.75","0.75","0.6666666666666666","0.875","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","4.0","3.0","3.0","2.0","7.0","4.0"
"NOMOnto","15.6","4.5","7.5","6.0","6.75","6.0"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.9512195121951219","0.8571428571428571","0.9090909090909091","0.9","0.8852459016393442","0.8823529411764706"
"RFCOnto","16.4","5.25","8.25","6.666666666666667","7.625","6.8"
"RROnto","0.04878048780487805","0.14285714285714285","0.09090909090909091","0.1","0.11475409836065574","0.11764705882352941"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
