"metric","base-llm","FT-llm"
"ANOnto","0.0","0.875"
"AROnto","0.6206896551724138","1.625"
"CBOOnto","0.9655172413793104","0.875"
"CBOnto2","0.9655172413793104","0.875"
"CROnto","0.0","0.0"
"DITOnto","3.0","2.0"
"INROnto","0.9655172413793104","0.875"
"LCOMOnto","1.9473684210526316","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","2.8","7.0"
"NOMOnto","1.8620689655172413","5.125"
"POnto","0.6206896551724138","0.0"
"PROnto","0.6585365853658537","0.8541666666666666"
"RFCOnto","2.8275862068965516","6.0"
"RROnto","0.34146341463414637","0.14583333333333334"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.9473684210526316","1.0"
"WMCOnto2","1.0","1.0"
