"metric","GPT-4","GPT-4o"
"ANOnto","0.75","0.8"
"AROnto","2.5","2.0"
"CBOOnto","0.75","0.8"
"CBOnto2","0.75","0.8"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.75","0.8"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","3.0","4.0"
"NOMOnto","7.5","6.0"
"POnto","0.0","0.0"
"PROnto","0.9090909090909091","0.8823529411764706"
"RFCOnto","8.25","6.8"
"RROnto","0.09090909090909091","0.11764705882352941"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
