"metric","AirlinesCustomerSatisfaction","AmazonRating","CustomerComplaint"
"ANOnto","0.0","0.0","0.0"
"AROnto","3.6666666666666665","1.2","1.1818181818181819"
"CBOOnto","0.8333333333333334","0.8","0.9545454545454546"
"CBOnto2","0.8333333333333334","0.8","0.9545454545454546"
"CROnto","0.0","0.0","0.0"
"DITOnto","3.0","3.0","3.0"
"INROnto","0.8333333333333334","0.8","0.9545454545454546"
"LCOMOnto","1.5","1.6666666666666667","1.894736842105263"
"NACOnto","1.0","1.0","1.0"
"NOCOnto","2.5","2.0","7.0"
"NOMOnto","11.0","3.6","3.5454545454545454"
"POnto","0.0","0.6","0.8181818181818182"
"PROnto","0.9295774647887324","0.8181818181818182","0.7878787878787878"
"RFCOnto","11.833333333333334","4.4","4.5"
"RROnto","0.07042253521126761","0.18181818181818182","0.21212121212121213"
"TMOnto","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0"
"WMCOnto","1.5","1.6666666666666667","1.894736842105263"
"WMCOnto2","1.0","1.0","1.0"
