"metric","GPT-3.5","GPT-4o","GPT-4o-mini","llama-2-13b","llama-2-7b","llama-2-7b-4bits","llama-2-7b-8bits","llama-3-8b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.0","0.75","0.8","0.9473684210526315","0.8","0.9166666666666666","0.8571428571428571","0.8","0.8333333333333334","0.9230769230769231"
"AROnto","2.5","1.75","3.0","0.9473684210526315","1.6","3.25","4.857142857142857","2.2","2.0","1.3846153846153846"
"CBOOnto","0.5","0.75","0.8","0.9473684210526315","0.8","0.9166666666666666","0.8571428571428571","0.8","0.8333333333333334","0.9230769230769231"
"CBOnto2","0.5","0.75","0.8","0.9473684210526315","0.8","0.9166666666666666","0.8571428571428571","0.8","0.8333333333333334","0.9230769230769231"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0"
"INROnto","0.5","0.75","0.8","0.9473684210526315","0.8","0.9166666666666666","0.8571428571428571","0.8","0.8333333333333334","0.9230769230769231"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.4","1.0","1.0","1.0","1.3"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","1.0","3.0","4.0","18.0","4.0","5.5","6.0","4.0","5.0","4.0"
"NOMOnto","7.5","5.25","9.0","3.5789473684210527","4.8","5.75","14.571428571428571","6.6","6.166666666666667","4.153846153846154"
"POnto","0.0","0.0","0.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.23076923076923078"
"PROnto","0.9375","0.875","0.9183673469387755","0.7906976744186046","0.8571428571428571","0.8625","0.9444444444444444","0.8918918918918919","0.8809523809523809","0.8181818181818182"
"RFCOnto","8.0","6.0","9.8","4.526315789473684","5.6","6.666666666666667","15.428571428571429","7.4","7.0","5.076923076923077"
"RROnto","0.0625","0.125","0.08163265306122448","0.20930232558139536","0.14285714285714285","0.1375","0.05555555555555555","0.10810810810810811","0.11904761904761904","0.18181818181818182"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.4","1.0","1.0","1.0","1.3"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
