"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8"
"AROnto","12.0","4.6"
"CBOOnto","0.5","0.8"
"CBOnto2","0.5","0.8"
"CROnto","0.0","0.0"
"DITOnto","2.0","2.0"
"INROnto","0.5","0.8"
"LCOMOnto","1.0","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","1.0","4.0"
"NOMOnto","48.0","14.4"
"POnto","0.0","0.0"
"PROnto","0.9896907216494846","0.9473684210526315"
"RFCOnto","48.5","15.2"
"RROnto","0.010309278350515464","0.05263157894736842"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.0","1.0"
"WMCOnto2","1.0","1.0"
