"","metric","FT-llm_llama-2-7b-8bits"
"1","ANOnto","0.5555555555555556"
"2","AROnto","3.0"
"3","CBOOnto","0.8888888888888888"
"4","CBOnto2","0.8888888888888888"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.8888888888888888"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","8.0"
"11","NOMOnto","9.0"
"12","POnto","0.0"
"13","PROnto","0.9101123595505618"
"14","RFCOnto","9.88888888888889"
"15","RROnto","0.0898876404494382"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
