"NUMBER","TYPE","eCommerce","merged"
"P01","CRITICAL","",""
"P02","MINOR","",""
"P03","CRITICAL","",""
"P04","MINOR","",""
"P05","CRITICAL","",""
"P06","CRITICAL","",""
"P07","MINOR","",""
"P08","MINOR","1","1"
"P09","MINOR","",""
"P10","IMPORTANT","1","1"
"P11","IMPORTANT","",""
"P12","IMPORTANT","",""
"P13","MINOR","1","1"
"P14","CRITICAL","",""
"P15","CRITICAL","",""
"P16","CRITICAL","",""
"P17","IMPORTANT","",""
"P18","IMPORTANT","",""
"P19","CRITICAL","1","1"
"P20","MINOR","",""
"P21","MINOR","",""
"P22","MINOR","1","1"
"P23","IMPORTANT","",""
"P24","IMPORTANT","",""
"P25","IMPORTANT","",""
"P26","IMPORTANT","",""
"P27","CRITICAL","",""
"P28","CRITICAL","",""
"P29","CRITICAL","",""
"P30","IMPORTANT","",""
"P31","CRITICAL","",""
"P32","MINOR","",""
"P33","MINOR","",""
"P34","IMPORTANT","",""
"P35","IMPORTANT","",""
"P36","MINOR","",""
"P37","CRITICAL","",""
"P38","IMPORTANT","1","1"
"P39","CRITICAL","",""
"P40","CRITICAL","",""
"P41","IMPORTANT","",""
"","TOTAL","6","6"
"","CRITICAL","1","1"
"","IMPORTANT","2","2"
"","MINOR","3","3"
