"metric","AirlinesCustomerSatisfaction","AmazonRating","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.0","0.0","0.0","0.09090909090909091","0.0"
"AROnto","12.0","2.2857142857142856","0.75","2.3636363636363638","2.909090909090909"
"CBOOnto","0.5","0.8571428571428571","0.875","0.9545454545454546","0.9090909090909091"
"CBOnto2","0.5","0.8571428571428571","0.875","0.9545454545454546","0.9090909090909091"
"CROnto","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","3.0","3.0","3.0","3.0"
"INROnto","0.5","0.8571428571428571","0.875","0.9545454545454546","0.9090909090909091"
"LCOMOnto","1.0","1.2","1.1666666666666667","1.05","1.1111111111111112"
"NACOnto","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","1.0","3.0","3.5","10.5","5.0"
"NOMOnto","48.0","3.4285714285714284","2.25","3.590909090909091","5.090909090909091"
"POnto","0.0","0.14285714285714285","0.75","0.045454545454545456","0.18181818181818182"
"PROnto","0.9896907216494846","0.8","0.72","0.79","0.8484848484848485"
"RFCOnto","48.5","4.285714285714286","3.125","4.545454545454546","6.0"
"RROnto","0.010309278350515464","0.2","0.28","0.21","0.15151515151515152"
"TMOnto","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.2","1.1666666666666667","1.05","1.1111111111111112"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0"
