NUMBER,TYPE,AirlinesCustomerSatisfaction GPT-4,AmazonRating GPT-4,BigBasketProducts GPT-4,BrazilianE-commerce GPT-4,CustomerComplaint GPT-4,eCommerce GPT-4,summary
P04,MINOR,1,NA,1,NA,1,1,4
P07,MINOR,NA,1,NA,NA,NA,NA,1
P08,MINOR,1,1,1,1,1,1,6
P10,IMPORTANT,1,1,1,1,1,1,6
P11,IMPORTANT,NA,NA,NA,1,NA,NA,1
P13,MINOR,1,1,1,1,1,1,6
P22,MINOR,NA,NA,1,1,1,1,4
P30,IMPORTANT,1,NA,NA,NA,NA,NA,1
P31,CRITICAL,NA,NA,NA,NA,NA,1,1
P38,IMPORTANT,1,1,1,1,1,1,6
,TOTAL,6,5,6,6,6,7,36
,CRITICAL,0,0,0,0,0,1,1
,IMPORTANT,3,2,2,3,2,2,14
,MINOR,3,3,4,3,4,4,21
