"NUMBER","TYPE","AirlinesCustomerSatisfaction GPT-3.5","AmazonRating GPT-3.5","BigBasketProducts GPT-3.5","BrazilianE-commerce GPT-3.5","CustomerComplaint GPT-3.5","eCommerce GPT-3.5","summary"
"P01","CRITICAL","","","","","","",0
"P02","MINOR","","","","","","",0
"P03","CRITICAL","","","","","","",0
"P04","MINOR","","","","","1","",1
"P05","CRITICAL","","","","","","",0
"P06","CRITICAL","","","","","","",0
"P07","MINOR","","","","","","",0
"P08","MINOR","1","1","1","1","1","1",6
"P09","MINOR","","","","","","",0
"P10","IMPORTANT","1","1","1","","1","1",5
"P11","IMPORTANT","","","","","","",0
"P12","IMPORTANT","","","","","","",0
"P13","MINOR","1","1","1","","1","",4
"P14","CRITICAL","","","","","","",0
"P15","CRITICAL","","","","","","",0
"P16","CRITICAL","","","","","","",0
"P17","IMPORTANT","","","","","","",0
"P18","IMPORTANT","","","","","","",0
"P19","CRITICAL","1","","","","","",1
"P20","MINOR","","","","","","",0
"P21","MINOR","","","","","","",0
"P22","MINOR","1","1","1","","1","1",5
"P23","IMPORTANT","","","","","","",0
"P24","IMPORTANT","","","","","","",0
"P25","IMPORTANT","","","","","","",0
"P26","IMPORTANT","","","","","","",0
"P27","CRITICAL","","","","","","",0
"P28","CRITICAL","","","","","","",0
"P29","CRITICAL","","","","","","",0
"P30","IMPORTANT","","","","","","",0
"P31","CRITICAL","","","","","","",0
"P32","MINOR","","","","","","",0
"P33","MINOR","","","","","","",0
"P34","IMPORTANT","","","","","","",0
"P35","IMPORTANT","","","","","","",0
"P36","MINOR","","","","","","",0
"P37","CRITICAL","","","","","","",0
"P38","IMPORTANT","1","1","1","1","1","1",6
"P39","CRITICAL","","","","","","",0
"P40","CRITICAL","","","","","","",0
"P41","IMPORTANT","","","","","","",0
"","TOTAL","6","5","5","2","6","4",28
"","CRITICAL","1","0","0","0","0","0",1
"","IMPORTANT","2","2","2","1","2","2",11
"","MINOR","3","3","3","1","4","2",16
