NUMBER,TYPE,AirlinesCustomerSatisfaction llama-3-8b-8bits,AmazonRating llama-3-8b-8bits,BigBasketProducts llama-3-8b-8bits,BrazilianE-commerce llama-3-8b-8bits,CustomerComplaint llama-3-8b-8bits,eCommerce llama-3-8b-8bits,summary
P04,MINOR,NA,NA,NA,1,NA,NA,1
P08,MINOR,1,1,1,1,1,1,6
P10,IMPORTANT,NA,1,1,1,1,1,5
P13,MINOR,1,1,1,1,1,1,6
P19,CRITICAL,NA,NA,1,NA,NA,NA,1
P22,MINOR,NA,1,NA,NA,1,1,3
P38,IMPORTANT,1,NA,1,1,NA,1,4
,TOTAL,3,4,5,5,4,5,26
,CRITICAL,0,0,1,0,0,0,1
,IMPORTANT,1,1,2,2,1,2,9
,MINOR,2,3,2,3,3,3,16
