"metric","GPT-4o","llama-2-13b","llama-3-8b-4bits","llama-3-8b-8bits"
"ANOnto","0.75","0.8333333333333334","0.75","0.8571428571428571"
"AROnto","1.0","2.1666666666666665","1.0","1.4285714285714286"
"CBOOnto","0.75","0.8333333333333334","0.75","0.8571428571428571"
"CBOnto2","0.75","0.8333333333333334","0.75","0.8571428571428571"
"CROnto","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","3.0"
"INROnto","0.75","0.8333333333333334","0.75","0.8571428571428571"
"LCOMOnto","1.0","1.0","1.0","1.2"
"NACOnto","1.0","1.0","1.0","1.0"
"NOCOnto","3.0","5.0","3.0","3.0"
"NOMOnto","3.0","6.5","3.0","3.5714285714285716"
"POnto","0.0","0.0","0.0","0.14285714285714285"
"PROnto","0.8","0.8863636363636364","0.8","0.8064516129032258"
"RFCOnto","3.75","7.333333333333333","3.75","4.428571428571429"
"RROnto","0.2","0.11363636363636363","0.2","0.1935483870967742"
"TMOnto","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.2"
"WMCOnto2","1.0","1.0","1.0","1.0"
